gene,condition,n_downstream,ontarget_significant,donor_corr_hits_mean,donor_corr_all_mean,donor_corr_hits_min,n_cells,rank_n_downstream,donor_robust
GNPDA2,Rest,166,True,0.7967110876214253,0.1241894214931266,0.7541734091677249,713.0,1097,True
NDUFB9,Stim48hr,166,True,0.8347275673415734,0.0987480191058447,0.6954491561426268,453.0,1097,True
GATAD1,Stim8hr,166,True,0.8865775935124877,0.2501391393106304,0.843649665375388,117.0,1097,True
MAP1LC3B,Rest,166,True,0.5834344469028964,0.1304899978003778,0.5526615995597671,601.0,1097,True
CD274,Stim8hr,166,True,0.132713752266506,-0.0108645096669423,0.0147721126473005,1490.0,1097,False
MPG,Stim48hr,165,True,0.6820927456412907,0.0436155702377524,0.6361187170316848,193.0,1102,True
NDRG1,Stim8hr,165,True,0.1364756615906359,0.0451610911008594,0.0604067237220254,282.0,1102,False
PATL1,Rest,165,True,0.8346781904979532,0.173381603118124,0.8210368516326535,265.0,1102,True
WDR54,Stim48hr,165,True,0.2237310068689168,0.0123859237579201,0.1941488641635057,1428.0,1102,False
RIPOR1,Rest,165,True,0.6620332719510951,0.2180420943045233,0.5272774488606864,385.0,1102,True
PXMP4,Stim8hr,164,True,0.1237232400228977,0.050802880095069,0.0450327355006745,571.0,1106,False
GET1,Stim8hr,164,True,0.707285999449747,0.1215685556080894,0.6548637040380909,65.0,1106,True
TAOK2,Rest,164,True,0.6277570682268322,-0.0270258767102064,0.5944814134532608,123.0,1106,True
SPATA33,Stim8hr,163,True,0.0853626850976322,0.0244574008288019,0.0363526596776075,325.0,1108,False
CYCS,Stim48hr,162,True,0.6851891217258906,0.0605740258234158,0.498782313853029,110.0,1109,False
SIN3A,Rest,161,True,0.8146875881991722,0.2429954498341595,0.7829387892287903,611.0,1111,True
SOCS3,Stim8hr,161,True,0.7449539432807469,0.1427518188704286,0.6952301262113632,92.0,1111,True
UBXN6,Stim48hr,161,True,0.5390490821330627,-0.0375297767305553,0.4587030773923219,432.0,1111,False
CRTAP,Stim8hr,160,True,0.3663213496620274,0.081860330373921,0.2998218988063834,433.0,1113,False
WARS1,Stim8hr,159,True,0.8228966424503996,0.144500040663652,0.7340294441989417,456.0,1115,True
ZBTB1,Stim48hr,159,True,0.832121078766488,0.1918589406477013,0.8198900034490342,450.0,1115,True
KIDINS220,Stim8hr,159,True,0.5927926234098035,0.0826578743983193,0.4633852797288204,94.0,1115,False
TMED2,Stim8hr,158,True,0.8636131698138759,0.1971758347446787,0.8298240165149788,416.0,1118,True
DCAF5,Stim48hr,158,True,0.6654340620455296,0.1012070293879089,0.6213085200032198,778.0,1118,True
NFKBID,Stim8hr,158,True,0.8654794512267575,0.1426266967649966,0.8432582990073929,197.0,1118,True
CHORDC1,Rest,158,True,0.7197907009140945,0.1232593460167005,0.6087485035881292,76.0,1118,True
CHURC1,Rest,157,True,0.1418180260164781,0.0433541475762137,-0.1327457895971613,194.0,1122,False
HHAT,Rest,157,True,0.6509106800942394,0.114381549058001,0.5717978177864238,140.0,1122,True
NDST2,Rest,157,True,0.7962331139678787,0.0646563999169238,0.7526552148177447,772.0,1122,True
FDX1,Stim48hr,156,True,0.7292401008471417,0.3448047372759311,0.640594902813347,92.0,1125,True
EMC3,Stim48hr,156,True,0.4895103286744462,0.0416827345758257,0.4103278198041068,723.0,1125,False
AVEN,Stim8hr,156,True,0.8480204936524881,0.0733842653782614,0.8283570236278862,375.0,1125,True
GPALPP1,Rest,155,True,0.6799672052706306,0.3056102083884017,0.5921879651634677,69.0,1128,True
UBE2E1,Stim48hr,155,True,0.8671684677838357,0.1410157736873784,0.8597434149795056,1246.0,1128,True
