source_gene,target_gene,similarity
MED12,STX16,0.6212
ARRDC1,TM2D1,0.6205
STX16,TADA2B,0.6184
INSR,TP53,0.6182
ARRDC1,PIK3C2A,0.6182
ITPR1,MAGI3,0.6181
SENP5,TADA1,0.618
PIK3C2A,ZNF649,0.6178
OXA1L,TWNK,0.6146
DUSP22,TM2D1,0.6145
COX6C,HCCS,0.6133
ATXN7L3,USP22,0.6115
BHLHE40,ITPR1,0.6111
MAGI3,TM2D1,0.6109
ARFGEF2,DUSP22,0.6087
ARFGEF2,STARD3,0.6075
BHLHE40,PDCL,0.6071
BPNT1,TP53,0.6062
EFR3A,LAT,0.605
DOP1B,PPM1L,0.6049
ARFGEF2,PIK3C2A,0.6032
ITPR1,OSBPL2,0.6031
GLIPR2,UBE2L3,0.6025
MIPEP,PMVK,0.6025
ARFGEF2,ZNF649,0.6024
CD3E,EFR3A,0.6013
DUSP22,INSR,0.6006
CEP250,TP53,0.5995
PMVK,TFAM,0.5988
MED12,UBE2L3,0.5976
BPNT1,DOP1B,0.5975
ARRDC1,PDCL,0.597
DUSP22,TAOK2,0.5966
ARFGEF2,TP53,0.5963
SOCS2,ZNF649,0.5949
ARFGEF2,BHLHE40,0.5949
DOP1B,TAOK2,0.5936
DOP1B,MAGI3,0.5935
CRTC3,ITPR1,0.593
ARRDC1,OSBPL2,0.5922
CEP250,PIK3C2A,0.5918
TAOK2,TP53,0.5913
SOCS2,TAOK2,0.5912
STX16,TAF6L,0.5912
ARRDC1,SOCS2,0.5896
OSBPL2,ZNF649,0.5896
DOLPP1,SLC35B1,0.5883
ARRDC1,CRTC3,0.5882
PIK3C2A,TAOK2,0.5877
ARRDC1,BHLHE40,0.5863
INSR,PIK3C2A,0.5826
EFR3A,ZAP70,0.5806
CEP250,MAGI3,0.5803
CD3E,NCAPG2,0.5799
EFR3A,LCK,0.5788
PIK3C2A,PPM1L,0.5786
MED19,UBE2L3,0.5775
STX16,SUPT20H,0.5759
NCAPG2,PLCG1,0.5759
PDCL,TAOK2,0.5751
ARRDC1,MAGI3,0.5745
ARFGEF2,TBKBP1,0.5744
SOCS2,TM2D1,0.5724
ATF4,EIF4G1,0.5719
INSR,MAGI3,0.5715
ARFGEF2,OSBPL2,0.5714
STX16,UBE2L3,0.5698
CEP250,CRTC3,0.5674
MAGI3,TAOK2,0.5672
GLIPR2,STX16,0.5671
CEP250,OSBPL2,0.5671
CRTC3,ZNF649,0.5667
OSBPL2,TAOK2,0.5661
BPNT1,OSBPL2,0.5655
CEP250,SOCS2,0.565
ATF7IP2,EIF1AX,0.5644
ARFGEF2,SOCS2,0.5638
OSBPL2,PIK3C2A,0.5638
ARFGEF2,SMAD2,0.5635
PDCL,PIK3C2A,0.5634
ATF7IP2,CD3E,0.5628
BHLHE40,TM2D1,0.5628
EIF1AX,PARP14,0.5626
MAGI3,PDCL,0.5623
DOP1B,PAXIP1,0.5613
BHLHE40,CRTC3,0.5612
MED19,STX16,0.56
HNRNPUL2,SOCS2,0.5597
NCAPG2,ZAP70,0.5587
CD3E,EIF1AX,0.5575
ATF7IP2,NCAPG2,0.5572
ARFGEF2,DDX19B,0.5571
LAT,NCAPG2,0.5568
ARRDC1,SMAD2,0.5554
HNRNPUL2,ITPR1,0.5545
SMIM3,TP53,0.5532
ATF7IP2,PLCG1,0.5532
EIF1AX,LAT,0.5497
BHLHE40,EGR2,0.5495
MED19,NCAPG2,0.5488
ARFGEF2,SEC31A,0.5487
GLIPR2,MED12,0.5479
ITPR1,TMEM183A,0.5475
EFR3A,UBE2E2,0.5473
CRTC3,PIK3C2A,0.5472
ITPR1,SEC31A,0.5469
CASC3,SMG1,0.5467
ATF7IP2,LAT,0.5467
EIF1AX,PLCG1,0.5457
ARRDC1,STARD3,0.5449
MIPEP,RBM10,0.5428
DUSP22,SEC31A,0.5428
CRTC3,TAOK2,0.5428
ARFGEF2,SC5D,0.5423
ATP5PO,RBM10,0.542
ARRDC1,SMIM3,0.5418
ELP1,RTRAF,0.5404
CCNC,DOP1B,0.5401
BHLHE40,MORC2,0.54
CEP250,FKBP15,0.5362
GLIPR2,MED19,0.5359
ARFGEF2,TMEM183A,0.5356
DUSP22,HNRNPUL2,0.534
ATF4,PDSS2,0.5339
EFR3A,FZD6,0.5335
EIF1AX,ZAP70,0.5329
OXA1L,PMVK,0.5322
ARRDC1,TBKBP1,0.5322
HNRNPUL2,ZNF649,0.531
CRTC3,SC5D,0.5307
ARRDC1,MTR,0.5306
FKBP15,ITPR1,0.5302
TAF6L,UBE2L3,0.529
DUSP22,SMIM3,0.5288
ARFGEF2,MTR,0.5285
MPI,USO1,0.5282
CEP250,HNRNPUL2,0.5281
ATF7IP2,UBE2E2,0.528
CEP250,STARD3,0.5279
SOCS2,TMEM183A,0.5276
ARRDC1,HNRNPUL2,0.5257
PIK3C2A,STARD3,0.5237
ARFGEF2,DYRK1A,0.5237
ARFGEF2,HAVCR2,0.5234
PIK3C2A,SEC31A,0.5233
SMAD2,ZNF649,0.5227
ATF7IP2,ZAP70,0.5224
NCAPG2,TESPA1,0.521
ARRDC1,SEC31A,0.5207
ITPR1,SC5D,0.5206
ARRDC1,TMEM183A,0.5197
DUSP22,FKBP15,0.5185
EIF1AX,TAF6L,0.5185
RRAGA,SIK3,0.5185
CRTC3,DDX19B,0.5182
CEP250,TMEM183A,0.5175
ITPR1,TBKBP1,0.5145
ARFGEF2,SMIM3,0.5145
ARRDC1,FKBP15,0.5142
CFAP298,UBXN1,0.5141
DUSP22,TBKBP1,0.5139
CEP250,SEC31A,0.5137
DDX1,ELP1,0.5136
DUSP22,TMEM183A,0.5127
TADA2B,UBE2L3,0.5118
ITPR1,STARD3,0.5113
BHLHE40,STARD3,0.5112
CLCC1,SIK3,0.5106
ARFGEF2,HDGF,0.5101
PIK3C2A,TBKBP1,0.51
POGLUT3,SENP5,0.509
CEP250,SMIM3,0.508
ITPR1,SMIM3,0.5067
CEP250,SMAD2,0.5061
ITPR1,SMAD2,0.506
CRTC3,TBKBP1,0.5056
SMIM3,ZNF649,0.5051
ACTR2,PMVK,0.505
ARFGEF2,HNRNPUL2,0.5044
PPIH,STARD3,0.504
CFAP298,PPIH,0.5038
SEC31A,TM2D1,0.503
ARFGEF2,MORC2,0.5024
DYNC2H1,FKBP15,0.5024
POGLUT3,SUPT20H,0.5014
DYRK1A,STARD3,0.5006
PIK3C2A,SMAD2,0.5006
MTR,PIK3C2A,0.5004
POGLUT3,SUPT7L,0.4989
HNRNPUL2,INSR,0.4988
DUSP22,SC5D,0.4987
DUSP22,MTR,0.4987
ARRDC1,DYRK1A,0.4976
CRTC3,SMAD2,0.4972
BPNT1,SEC31A,0.4967
ARFGEF2,EFCAB14,0.4966
STARD3,TBKBP1,0.4959
HAVCR2,SMIM3,0.4958
CFAP298,STARD3,0.4955
TAOK2,TBKBP1,0.4945
CD3E,CLCC1,0.4945
ARFGEF2,ELAVL1,0.4944
CEP250,SC5D,0.4939
PIK3C2A,TMEM183A,0.4921
SMAD2,TAOK2,0.4919
BHLHE40,HROB,0.4915
DLG4,FKBP15,0.4914
CEP250,MTR,0.4913
SUPT20H,UBE2L3,0.4913
ARFGEF2,LEPROTL1,0.4899
PMVK,TWNK,0.4898
FKBP15,GABARAPL1,0.4887
DYRK1A,ITPR1,0.4884
ARFGEF2,FKBP15,0.4884
TMEM183A,TP53,0.4868
POGLUT3,TADA2B,0.4864
CRTC3,HAVCR2,0.4862
PPIH,TXNL4B,0.486
ARRDC1,EFCAB14,0.4858
HAVCR2,PIK3C2A,0.485
CCNC,PAXIP1,0.484
SGF29,STIP1,0.4825
PAXIP1,PPM1L,0.482
CASC3,SMG7,0.4812
ITPR1,MTR,0.4807
DOLPP1,USO1,0.4807
ITPR1,PAXIP1,0.4794
HDGF,ITPR1,0.4791
RBM10,TFAM,0.479
EIF1AX,TESPA1,0.4777
LEPROTL1,STARD3,0.4775
CHD7,POGLUT3,0.4773
CRTC3,HDGF,0.4762
CEP250,HAVCR2,0.4758
ATP5PO,PMVK,0.4752
ATF4,COX6C,0.4749
CRTC3,MORC2,0.4742
GPI,RRAGA,0.474
MTR,SOCS2,0.4734
SUPT20H,USP22,0.4733
DLG4,ZNF891,0.4724
SC5D,TM2D1,0.4723
OXA1L,RBM10,0.4721
TAF6L,USP22,0.4709
ARFGEF2,EGR2,0.4702
EFCAB14,ZNF649,0.47
INSR,SMARCB1,0.4689
SC5D,TP53,0.4683
HROB,STARD3,0.4682
SLC35B1,USO1,0.4675
PAXIP1,TM2D1,0.4669
CLCC1,PLCG1,0.4662
GPI,SIK3,0.4659
RTRAF,SLC35B1,0.4659
DYRK1A,ZNF649,0.4657
CLCC1,LAT,0.4645
ATF7IP2,FZD6,0.4642
CRTC3,MTR,0.4642
PAXIP1,PDCL,0.4639
HAVCR2,ITPR1,0.4638
MED19,TAF13,0.4629
PAXIP1,ZNF649,0.4628
BHLHE40,HDGF,0.4622
DYRK1A,PIK3C2A,0.4613
ARFGEF2,ELP1,0.4606
CRTC3,DYRK1A,0.4604
PDSS2,PPIH,0.4603
EFCAB14,ITPR1,0.4603
ARFGEF2,SCLY,0.4601
MED1,MED19,0.4597
CFAP298,CPSF6,0.4597
SC5D,SMIM3,0.4596
DDX19B,STARD3,0.4589
GLIPR2,SUPT20H,0.4574
PIK3C2A,SCLY,0.4573
HDGF,ZNF649,0.4572
EGR2,ZNF649,0.457
DUSP22,SCLY,0.456
BHLHE40,HAVCR2,0.4558
DCAKD,PARP14,0.4558
HROB,PIK3C2A,0.4555
PAXIP1,TAOK2,0.4555
ACTR2,TFAM,0.4554
LAT,RBM33,0.4548
ARFGEF2,HROB,0.4546
EFCAB14,PIK3C2A,0.4544
SMARCB1,SMARCE1,0.4542
DDX19B,ITPR1,0.454
ARFGEF2,CCDC117,0.4539
CEP250,SCLY,0.4538
KHDRBS1,PDSS2,0.4537
ARRDC1,CFAP298,0.4536
DUSP22,HAVCR2,0.4535
ARFGEF2,PPIH,0.4528
CCDC117,HAVCR2,0.4523
ATF4,PPIH,0.452
CLCC1,RRAGA,0.4519
CFAP298,ZMYM2,0.4519
EFCAB14,HAVCR2,0.4502
EGR2,TM2D1,0.4497
ARRDC1,HROB,0.4494
SMARCB1,UBXN1,0.449
EGR2,ITPR1,0.4487
HROB,PDCL,0.4485
CRTC3,ELAVL1,0.4484
CFAP298,KHDRBS1,0.4482
DOP1B,SGF29,0.4479
COX6C,KHDRBS1,0.4479
GLIPR2,TAF6L,0.4477
DENR,MED19,0.4475
CLCC1,PKN3,0.4464
DOLPP1,LAT,0.4461
DDX19B,DUSP22,0.4455
GLIPR2,TADA2B,0.4453
PGGT1B,PMVK,0.4452
RBM10,TWNK,0.4447
CFAP298,ZNF649,0.4442
ATF4,KHDRBS1,0.4435
CEP250,EFCAB14,0.4434
HROB,MAGI3,0.4433
BHLHE40,DYRK1A,0.4433
KHDRBS1,TXNL4B,0.4417
KHDRBS1,PPIH,0.4416
CRTC3,EFCAB14,0.4414
CRTC3,SCLY,0.4412
CPSF6,PPIH,0.4402
DDX19B,MORC2,0.4399
MRC2,PMVK,0.4394
CCDC117,SMIM3,0.4393
POGLUT3,TAF13,0.4391
MED19,TESPA1,0.4373
ITPR1,MORC2,0.437
CRTC3,EGR2,0.4365
CEP250,WAC,0.4365
MED15,MED19,0.4363
ARFGEF2,PDCD6,0.4362
ELAVL1,ITPR1,0.4361
ELP1,STARD3,0.436
KHDRBS1,STARD3,0.436
HDGF,PIK3C2A,0.436
ARRDC1,SMARCB1,0.4351
ELP1,PPIH,0.435
NCKAP1L,SMARCB1,0.4344
CLCC1,ZAP70,0.434
DOLPP1,ZAP70,0.4335
PDSS2,PRKAR1A,0.4333
ELAVL1,SC5D,0.4332
ACTR2,MIPEP,0.4329
HDGF,PDCL,0.4325
INSR,SCLY,0.4308
HROB,ITPR1,0.4301
CD3E,DOLPP1,0.4294
ELAVL1,MORC2,0.4292
RBM33,ZAP70,0.4286
ARFGEF2,WAC,0.4284
BHLHE40,WAC,0.4278
PAXIP1,SGF29,0.4278
SENP5,TESPA1,0.4275
LAMTOR2,SIK3,0.4272
CCDC117,MTR,0.4267
CD3E,RBM33,0.4264
PARP14,UBE2E2,0.4263
DUSP22,HDGF,0.4259
CLCC1,NCAPG2,0.4255
CEP250,ZNF891,0.4253
ARRDC1,SCLY,0.4248
SMARCB1,ZMYM2,0.4245
EGR2,MORC2,0.4241
DDX19B,TBKBP1,0.4241
SC5D,SCLY,0.4235
DDX19B,PIK3C2A,0.4233
ARRDC1,ZNF891,0.4231
PLCG1,RBM33,0.4225
PDCD6,STARD3,0.4224
MORC2,ZNF649,0.4217
DYNC2H1,ZNF891,0.4216
CFAP298,LEPROTL1,0.4212
EGR2,SMAD2,0.4211
CCDC117,PIK3C2A,0.421
MRC2,TFAM,0.4209
ARRDC1,LEPROTL1,0.4204
MED23,MED24,0.4193
TADA2B,USP22,0.4189
GPI,STAT3,0.4187
COG6,EIF1AX,0.4187
TP53,WAC,0.4184
ARFGEF2,KPTN,0.4182
CLCC1,LAMTOR2,0.4174
CCDC117,CRTC3,0.4164
TAF6L,TESPA1,0.4162
MRC2,RHOA,0.4158
ERCC4,RHOA,0.4155
DUSP22,ELAVL1,0.4154
ITPR1,WAC,0.4151
SMARCB1,TAOK2,0.4148
COX6C,PPIH,0.414
COX6C,CPSF6,0.4135
TESPA1,ZAP70,0.4135
DDX19B,LEPROTL1,0.4134
ACTR2,TWNK,0.4127
LEPROTL1,PIK3C2A,0.412
GABARAPL1,ZNF891,0.4114
MED1,MED12,0.4113
CCDC117,TMEM183A,0.4113
ELP1,ITPR1,0.4098
CCNC,ZNF649,0.4097
CFAP298,COX6C,0.4095
ATF4,TXNL4B,0.4095
ITPR1,SKIC8,0.409
INSR,ZNF891,0.4087
SMIM3,ZNF891,0.4086
CCDC117,SMAD2,0.4081
DDX19B,ELAVL1,0.4079
DDX1,SLC35B1,0.4078
DENR,NCAPG2,0.4075
SENP5,SINHCAF,0.4074
EGR2,MED23,0.4059
GATA3,ZNF649,0.4057
CEP250,ELAVL1,0.4057
ACLY,MIPEP,0.4055
DYRK1A,PDCD6,0.4055
LSP1,STARD3,0.4053
TP53,ZNF891,0.404
DUSP22,RILPL2,0.4039
CD3E,TESPA1,0.4034
IL16,PIK3C2A,0.403
ARRDC1,WAC,0.403
SUPT7L,USP22,0.4026
DYNC2H1,SMARCB1,0.4025
PPIH,WAC,0.4022
CPSF6,KHDRBS1,0.402
LEPROTL1,OSBPL2,0.4015
ARFGEF2,RILPL2,0.4007
CCNC,TM2D1,0.4003
WAC,ZNF649,0.3991
PKN3,SIK3,0.3988
COG6,NCAPG2,0.3987
COG6,LAT,0.398
GLIPR2,SINHCAF,0.3978
PLCG1,TESPA1,0.3977
LEPROTL1,SEC31A,0.3973
PDCL,YTHDF2,0.3959
DOLPP1,PLCG1,0.3956
SKIC8,TM2D1,0.3953
MPI,RTRAF,0.3951
ELP1,PDCL,0.3948
PDSS2,STARD3,0.3947
MIPEP,MRC2,0.3946
KLF2,PTEN,0.3946
ARFGEF2,LSP1,0.3941
ARFGEF2,MBOAT7,0.3941
NCAPG2,PARP14,0.3938
CD3E,COG6,0.393
TSPYL5,USP22,0.3927
IL16,MTR,0.3923
DDX19B,KPTN,0.392
CHD7,USP22,0.3918
PIK3C2A,RILPL2,0.3912
CD53,NIPSNAP3A,0.3903
ATF4,PRKAR1A,0.3903
CFAP298,TXNL4B,0.3903
CPSF6,PDSS2,0.3899
ACTR2,ATP5PO,0.3899
DYRK1A,ELP1,0.3896
SINHCAF,UBE2L3,0.3894
RILPL2,SOCS2,0.3893
STARD3,YTHDF2,0.3887
DENR,SENP5,0.3884
ARFGEF2,IL16,0.3877
TADA1,USP22,0.3874
STARD3,TXNL4B,0.3873
CLCC1,MRC2,0.3871
MED12,SINHCAF,0.3865
CPSF6,PRKAR1A,0.3858
GPI,LAMTOR2,0.3854
CREBBP,PARP14,0.385
ARFGEF2,SKIC8,0.3849
CEP250,IL16,0.3849
PDCD6,PIK3C2A,0.3848
IL2RB,SGF29,0.3847
SINHCAF,STX16,0.3845
COX6C,PRKAR1A,0.3833
BTAF1,TAF11,0.383
EIF4G1,UFM1,0.3827
EIF4G1,PDSS2,0.3826
CRTC3,IL16,0.3812
CPSF6,STARD3,0.3811
IL16,TMEM183A,0.3807
HAVCR2,RILPL2,0.3799
NIPSNAP3A,STARD3,0.3796
MED24,POGLUT3,0.379
COG6,DOLPP1,0.3789
NIPSNAP3A,PDSS2,0.3786
ARFGEF2,LRP8,0.3784
COG6,ZAP70,0.3773
CD53,STARD3,0.3768
CD53,PDSS2,0.3768
IL16,SCLY,0.3764
SKIC8,WAC,0.375
ACTR2,OXA1L,0.3749
RBM33,UBE2E2,0.3747
MED15,POGLUT3,0.3746
CEP250,LRP8,0.3746
DUSP22,IL16,0.3745
GATA3,IL2RB,0.3744
GABARAPL1,SKIC8,0.3743
RILPL2,SMAD2,0.3739
DOP1B,YTHDF2,0.3738
ERCC4,SIK3,0.3733
BPNT1,SKIC8,0.3727
PAXIP1,YTHDF2,0.3725
EIF4G1,PRKAR1A,0.3722
MTR,RILPL2,0.3716
MTR,PDCD6,0.371
INSR,SKIC8,0.3708
ARFGEF2,NIPSNAP3A,0.3707
CD3E,SIK3,0.3706
RILPL2,SCLY,0.3694
ELOB,UBE2L3,0.3694
NAA30,UBE2L3,0.3678
DDX1,MPI,0.3678
LEPROTL1,NIPSNAP3A,0.3678
KPTN,MORC2,0.367
ATF4,RTRAF,0.3669
FZD6,RBM33,0.3665
DCAKD,EIF1AX,0.3664
ATF4,CPSF6,0.3661
CRTC3,MBOAT7,0.3656
EIF4G1,RTRAF,0.3652
MED15,MRC2,0.3652
LRP8,SEC31A,0.3652
AHR,MYB,0.3649
LRP8,PIK3C2A,0.3638
ATF4,CD53,0.3636
FZD6,PARP14,0.3634
PDCD6,TBKBP1,0.3634
DLG4,LRP8,0.3632
NIPSNAP3A,PPIH,0.363
COG6,PLCG1,0.3627
SKIC8,STARD3,0.3622
IL12RB2,TXNL4B,0.3621
MED12,MED15,0.3618
LAT,SIK3,0.3616
ATF4,UFM1,0.3614
BHLHE40,GATA3,0.3612
GATA3,PDCL,0.361
ARFGEF2,CD53,0.3607
DENR,UBE2L3,0.3604
DUSP22,MBOAT7,0.36
CFAP298,LRP8,0.3594
DCAKD,UBE2E2,0.3592
ATF4,TAF11,0.3591
MED1,MED24,0.3587
CCNC,DLG4,0.3584
ARRDC1,PDCD6,0.3582
HAVCR2,PDCD6,0.3579
ACLY,PMVK,0.3572
ELP1,TXNL4B,0.3567
HROB,NIPSNAP3A,0.3563
ACTR2,LAMTOR2,0.3558
CCNC,PDCL,0.3553
MED12,TAF13,0.3538
CCNC,SOCS2,0.3533
DENR,TAF6L,0.3527
CLCC1,ELOF1,0.3523
PDSS2,TAF11,0.3522
LCK,RBM33,0.3518
MRC2,OXA1L,0.3518
LRP8,UBXN1,0.3517
MBOAT7,MTR,0.351
MED15,MOSPD1,0.351
KHDRBS1,NELFCD,0.3508
SGF29,ZNF649,0.3507
LRP8,OSBPL2,0.3505
HCCS,PRKAR1A,0.3503
MBOAT7,SMIM3,0.35
ELOB,SENP5,0.3497
KHDRBS1,TAF11,0.3495
ELOB,TADA2B,0.3485
PGGT1B,RBM33,0.3483
ARRDC1,MBOAT7,0.3473
LSP1,PIK3C2A,0.3473
DENR,TESPA1,0.3472
CPSF6,TXNL4B,0.3471
DENR,POGLUT3,0.3471
ELOB,MED19,0.347
SEC31A,YTHDF2,0.3466
PMVK,RBM10,0.3465
MBOAT7,SC5D,0.3465
ERCC4,MRC2,0.3456
ARFGEF2,LARP4,0.3452
HNRNPUL2,MBOAT7,0.3451
DHX36,UVRAG,0.3451
GATA3,SGF29,0.3442
PARP14,ZNF891,0.3435
ARRDC1,LSP1,0.3435
ACTR2,MRC2,0.343
EGR2,KPTN,0.3429
PDSS2,UBR5,0.3429
ERCC4,LAMTOR2,0.3428
MRC2,TAF13,0.3417
ELOB,NCAPG2,0.3416
LEO1,SKIC8,0.3412
AHR,ARNT,0.3396
EIF4G1,TAF11,0.3396
BHLHE40,KPTN,0.3391
CD3E,MED15,0.339
ATF7IP2,DCAKD,0.3384
DOP1B,GATA3,0.3383
LAT,PARP14,0.338
SOCS2,STAT3,0.3379
EWSR1,MOSPD1,0.3378
CLCC1,MED15,0.3376
ATF4,UBR5,0.3371
CD53,DDX19B,0.337
KPTN,NIPSNAP3A,0.3369
CRTC3,KPTN,0.3365
MYB,PTEN,0.3356
DENR,TADA2B,0.3354
LSP1,TBKBP1,0.3353
COG6,FZD6,0.3351
LSP1,PPIH,0.3351
BTAF1,PDSS2,0.3348
EIF1AX,ELOB,0.3343
ATAD5,MED15,0.3336
ELOB,TAF6L,0.3331
PDSS2,RTRAF,0.3323
CLCC1,RHOA,0.3322
COG6,MPI,0.3321
ARFGEF2,YTHDF2,0.3321
ITPR1,LSP1,0.332
DYRK1A,LSP1,0.3315
BHLHE40,IL2RB,0.3312
IL12RB2,KHDRBS1,0.3303
ACLY,TFAM,0.3296
POGLUT3,TAF11,0.329
