gene,old_rank,new_rank,rank_shift,regpower_eb_mean,guide_corr,donor_corr,single_guide_frac,repro_weight,reweighted_score,donor_metadata,n_guides_med,peak_condition
ZNF148,133,259,-126,1.4235,0.002,0.451,0.0,0.363,0.5167,presente,2.0,Rest
COASY,305,260,45,0.9009,,0.527,0.0,0.573,0.5162,presente,2.0,Stim8hr
ZEB1,338,261,77,0.8232,0.318,0.902,0.0,0.627,0.5161,presente,2.0,Stim48hr
CREB1,280,262,18,0.9552,0.257,0.718,0.0,0.54,0.5158,presente,2.0,Stim48hr
PGK1,303,263,40,0.9012,0.334,0.715,0.0,0.572,0.5155,presente,2.0,Stim8hr
HMBS,130,264,-134,1.4277,0.062,0.361,0.0,0.361,0.5154,presente,2.0,Stim8hr
CAMSAP1,252,265,-13,1.0117,0.135,0.793,0.0,0.509,0.515,presente,2.0,Stim8hr
FITM1,332,266,66,0.8331,,0.639,0.0,0.615,0.5124,presente,2.0,Rest
TSC2,246,267,-21,1.0289,0.165,0.695,0.0,0.494,0.5083,presente,2.0,Rest
TASOR,288,268,20,0.9339,0.212,0.791,0.0,0.543,0.5071,presente,2.0,Stim8hr
PIM1,153,269,-116,1.3377,,0.683,1.0,0.379,0.507,presente,1.0,Rest
EIF1AX,177,270,-93,1.2392,,0.088,0.0,0.408,0.5056,presente,2.0,Stim8hr
TAF5L,381,271,110,0.7639,,0.754,0.0,0.658,0.5026,presente,2.0,Rest
EIF4A1,345,272,73,0.8162,,0.641,0.0,0.615,0.502,presente,2.0,Stim48hr
ACLY,284,273,11,0.9435,0.208,0.761,0.0,0.532,0.5019,presente,2.0,Stim48hr
ELP5,270,274,-4,0.9753,0.197,0.716,0.0,0.514,0.5013,presente,2.0,Stim8hr
