gene,condition,row,source,regulator_class,regpower_eb_mean,n_downstream,cluster,program_label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
UBR5,Stim8hr,30678,global,global,1.8221,1705,10,mixed,-3.3138,-16.2362,11.8872,-0.241,-4.0185,-2.8594,4.2672,-2.271,2.1128,-0.6962
MED24,Stim8hr,16406,global,global,1.807,2794,6,mixed,-5.7408,-0.7447,18.4626,2.9385,-3.9209,-14.1844,-15.6567,8.3711,22.3513,9.3601
DOLPP1,Stim8hr,7810,global,global,1.7982,2717,2,mixed,22.9603,-0.0536,-6.8341,14.5485,28.0489,12.5521,-1.3361,-20.3182,-0.7351,8.3991
PTEN,Rest,22304,global,global,1.7843,2928,1,mixed,-0.1595,-4.6964,8.2755,-1.5628,-11.03,22.9051,-8.276,-1.1121,3.6547,10.3618
INTS10,Stim48hr,13670,global,global,1.7782,2075,5,mixed,1.7582,0.2985,1.2036,-4.7212,-7.8804,2.8153,1.5209,-10.5155,2.0864,-1.8334
MED19,Stim8hr,16397,global,global,1.7744,3868,2,mixed,36.7322,15.4188,24.463,7.5351,-5.6596,-6.5065,-9.7155,0.9872,7.4445,0.7424
BTAF1,Stim8hr,3152,global,global,1.7662,1492,10,mixed,-7.0039,-3.9746,14.3886,-6.262,-1.9293,-11.7315,-0.4448,-1.7102,3.5295,2.1875
STAT3,Stim48hr,27224,global,global,1.7642,1592,5,mixed,-6.3709,-2.5673,-12.7394,-16.1309,-4.3895,0.8836,-6.3649,-20.939,-3.4991,5.6231
USP7,Stim8hr,31035,global,global,1.7591,1536,1,mixed,5.6041,-6.9038,7.7751,4.121,-7.9508,3.2904,2.3101,1.3684,7.3976,-0.8606
TAF11,Stim8hr,27701,global,global,1.7506,2929,10,mixed,0.8613,-8.1809,27.7061,2.3275,-4.195,-17.8079,0.8264,-4.9268,-1.3867,0.3899
CASC3,Stim8hr,4050,global,global,1.7428,1430,8,mixed,-7.6564,2.8302,-9.4043,0.7863,2.7699,7.5632,-9.8408,4.6401,0.3474,-13.5212
NAA30,Stim8hr,17938,global,global,1.7371,2084,1,mixed,1.8231,10.1368,6.0109,13.9567,2.4211,9.3305,8.5377,-2.2913,6.1485,8.5398
STRAP,Rest,27357,global,global,1.7351,1699,3,mixed,-5.7227,-12.5376,-2.4805,-7.926,5.0731,-0.8316,-6.3854,-3.8165,-3.8997,-9.8665
EHMT2,Rest,8385,global,global,1.7276,1428,3,mixed,2.2033,-5.0382,1.5828,-8.6805,-0.0213,-2.8564,-8.3614,-0.5108,-4.3395,-0.2682
EWSR1,Rest,9080,global,global,1.7248,2451,3,mixed,8.6627,-13.0838,1.7004,-9.4856,-2.3358,-2.581,-5.047,1.3959,2.3542,-3.1328
MYB,Rest,17739,global,global,1.7232,1324,1,mixed,-7.2411,3.725,6.5501,10.0607,-9.023,12.1258,1.8876,5.4698,3.8504,-2.4997
