community,gene,max_genetic_score,diseases_hit,score_SLE,score_RA,score_MS,score_Sjogren,score_T1D
4,SYPL1,0.47,MS,0.0,0.0,0.47,0.0,0.0
4,BATF3,0.463,MS,0.0,0.0,0.463,0.0,0.0
4,SKI,0.459,RA,0.0,0.459,0.0,0.0,0.0
4,TMCO4,0.439,RA;T1D,0.0,0.05,0.0,0.0,0.439
4,RNASEL,0.42,MS,0.0,0.0,0.42,0.0,0.0
4,CEP162,0.407,MS,0.0,0.0,0.407,0.0,0.0
4,METTL8,0.407,MS,0.0,0.0,0.407,0.0,0.0
4,NCK2,0.406,RA,0.0,0.406,0.0,0.0,0.0
4,STRN,0.4,SLE;T1D,0.051,0.0,0.0,0.0,0.4
4,UBLCP1,0.387,SLE;RA;T1D,0.076,0.387,0.0,0.0,0.049
4,PDE7A,0.36,RA;T1D,0.0,0.36,0.0,0.0,0.085
4,ATXN7L3B,0.339,T1D,0.0,0.0,0.0,0.0,0.339
4,CUTA,0.32,RA;T1D,0.0,0.201,0.0,0.0,0.32
4,SPRYD3,0.298,RA;T1D,0.0,0.046,0.0,0.0,0.298
4,ZC3HAV1L,0.237,MS,0.0,0.0,0.237,0.0,0.0
4,OSGIN2,0.209,RA,0.0,0.209,0.0,0.0,0.0
4,SYNGAP1,0.178,RA;MS,0.0,0.178,0.178,0.0,0.0
4,TAOK3,0.175,T1D,0.0,0.0,0.0,0.0,0.175
4,SSBP4,0.156,SLE,0.156,0.0,0.0,0.0,0.0
4,NF2,0.152,T1D,0.0,0.0,0.0,0.0,0.152
4,NOTCH2,0.15,T1D,0.0,0.0,0.0,0.0,0.15
4,COMMD7,0.118,RA,0.0,0.118,0.0,0.0,0.0
4,ZEB1,0.109,RA;MS,0.0,0.109,0.046,0.0,0.0
4,ANGEL2,0.106,RA,0.0,0.106,0.0,0.0,0.0
4,GGNBP2,0.09,MS,0.0,0.0,0.09,0.0,0.0
4,LAX1,0.087,T1D,0.0,0.0,0.0,0.0,0.087
4,IER3IP1,0.073,RA,0.0,0.073,0.0,0.0,0.0
4,PDP2,0.073,Sjogren,0.0,0.0,0.0,0.073,0.0
4,IRF2BPL,0.069,RA,0.0,0.069,0.0,0.0,0.0
4,GLCE,0.068,SLE;RA,0.06,0.068,0.0,0.0,0.0
4,EPSTI1,0.066,RA,0.0,0.066,0.0,0.0,0.0
4,NRDC,0.066,RA,0.0,0.066,0.0,0.0,0.0
4,RSPH3,0.062,RA;MS;T1D,0.0,0.062,0.035,0.0,0.034
4,ENDOD1,0.056,RA;MS,0.0,0.056,0.036,0.0,0.0
4,MAPRE2,0.054,SLE,0.054,0.0,0.0,0.0,0.0
4,EIF4E3,0.051,Sjogren,0.0,0.0,0.0,0.051,0.0
4,VWA8,0.049,RA,0.0,0.049,0.0,0.0,0.0
4,H1-10,0.045,SLE,0.045,0.0,0.0,0.0,0.0
4,MFSD1,0.04,SLE,0.04,0.0,0.0,0.0,0.0
4,PDZD11,0.04,RA,0.0,0.04,0.0,0.0,0.0
4,GIN1,0.037,T1D,0.0,0.0,0.0,0.0,0.037
4,CORO1A,0.035,RA,0.0,0.035,0.0,0.0,0.0
4,CRY1,0.033,RA,0.0,0.033,0.0,0.0,0.0
4,SGPL1,0.031,RA,0.0,0.031,0.0,0.0,0.0
5,APOBR,0.773,SLE;RA;T1D,0.257,0.309,0.0,0.0,0.773
5,ST8SIA4,0.675,SLE,0.675,0.0,0.0,0.0,0.0
5,LYST,0.614,SLE,0.614,0.0,0.0,0.0,0.0
5,ATM,0.562,T1D,0.0,0.0,0.0,0.0,0.562
5,ABTB3,0.517,RA,0.0,0.517,0.0,0.0,0.0
5,PARK7,0.517,RA,0.0,0.517,0.0,0.0,0.0
5,ERAP2,0.484,RA,0.0,0.484,0.0,0.0,0.0
5,RBPJ,0.481,RA;T1D,0.0,0.481,0.0,0.0,0.452
5,NUDT3,0.465,RA,0.0,0.465,0.0,0.0,0.0
5,KIFAP3,0.404,MS,0.0,0.0,0.404,0.0,0.0
5,CCR2,0.382,SLE;RA;T1D,0.195,0.382,0.0,0.0,0.053
5,LAT2,0.38,SLE;RA,0.38,0.042,0.0,0.0,0.0
5,BTN2A1,0.322,RA,0.0,0.322,0.0,0.0,0.0
5,MAPK1,0.303,MS;T1D,0.0,0.0,0.303,0.0,0.222
5,SMIM20,0.273,RA;T1D,0.0,0.273,0.0,0.0,0.145
5,RNF19A,0.182,RA,0.0,0.182,0.0,0.0,0.0
5,SIRT6,0.175,RA,0.0,0.175,0.0,0.0,0.0
5,SLC2A4RG,0.158,MS,0.0,0.0,0.158,0.0,0.0
5,MCCC2,0.102,RA,0.0,0.102,0.0,0.0,0.0
5,FARP2,0.079,T1D,0.0,0.0,0.0,0.0,0.079
5,ANTKMT,0.071,RA,0.0,0.071,0.0,0.0,0.0
5,PRCP,0.071,RA,0.0,0.071,0.0,0.0,0.0
5,OAS2,0.058,SLE,0.058,0.0,0.0,0.0,0.0
5,SPATA2,0.055,SLE,0.055,0.0,0.0,0.0,0.0
5,ANKRD13C,0.054,RA,0.0,0.054,0.0,0.0,0.0
5,NDUFS4,0.048,RA,0.0,0.048,0.0,0.0,0.0
5,SLC25A19,0.046,SLE,0.046,0.0,0.0,0.0,0.0
5,UBL3,0.043,RA,0.0,0.043,0.0,0.0,0.0
