target_contrast,target_contrast_gene_name,culture_condition,single_guide_estimate,n_guides,guide_correlation_all,guide_correlation_signif,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000049249,TNFRSF9,Rest,False,2.0,-0.0035953969008104,-0.4200222443489731,1.0,,,
ENSG00000049249,TNFRSF9,Stim48hr,False,2.0,,,,,,
ENSG00000049249,TNFRSF9,Stim8hr,False,2.0,0.1495834268534611,0.7870724657154734,2.0,,,
ENSG00000121858,TNFSF10,Rest,False,2.0,0.0291488148994729,-0.4002412374700823,2.0,,,
ENSG00000121858,TNFSF10,Stim48hr,False,2.0,0.0692822711422338,-0.8330273362676245,1.0,,,
ENSG00000121858,TNFSF10,Stim8hr,False,2.0,0.0116717538704795,-0.4387529577922503,2.0,,,
ENSG00000120659,TNFSF11,Rest,False,2.0,,,,,,
ENSG00000120659,TNFSF11,Stim48hr,False,2.0,,,,,,
ENSG00000120659,TNFSF11,Stim8hr,False,2.0,,,,,,
ENSG00000248871,TNFSF12-TNFSF13,Rest,True,1.0,,,,,,
ENSG00000248871,TNFSF12-TNFSF13,Stim48hr,True,1.0,,,,,,
ENSG00000248871,TNFSF12-TNFSF13,Stim8hr,True,1.0,,,,,,
ENSG00000161955,TNFSF13,Rest,False,2.0,0.0160322908636491,-1.0,2.0,,,
ENSG00000161955,TNFSF13,Stim48hr,False,2.0,-0.024044943248693,,2.0,,,
ENSG00000161955,TNFSF13,Stim8hr,False,2.0,-0.0044936225715085,,2.0,,,
ENSG00000102524,TNFSF13B,Rest,False,2.0,,,,,,
ENSG00000102524,TNFSF13B,Stim48hr,False,2.0,,,,,,
ENSG00000102524,TNFSF13B,Stim8hr,False,2.0,,,,,,
ENSG00000125735,TNFSF14,Rest,False,2.0,-0.0934228754527629,,2.0,,,
ENSG00000125735,TNFSF14,Stim48hr,False,2.0,0.0089207308258646,,2.0,,,
ENSG00000125735,TNFSF14,Stim8hr,False,2.0,0.0175412942620749,1.0,2.0,,,
ENSG00000117586,TNFSF4,Rest,False,2.0,0.0328661332455143,,2.0,,,
ENSG00000117586,TNFSF4,Stim48hr,False,2.0,0.014865504952639,,1.0,,,
ENSG00000117586,TNFSF4,Stim8hr,False,2.0,0.0388028964364722,,2.0,,,
ENSG00000106952,TNFSF8,Rest,False,2.0,0.0686604990019028,0.6384721130283447,2.0,,,
ENSG00000106952,TNFSF8,Stim48hr,False,2.0,0.0229596440426834,0.8246741805189216,2.0,,,
ENSG00000106952,TNFSF8,Stim8hr,False,2.0,0.0575124234224095,0.6309951485699581,2.0,,,
ENSG00000125657,TNFSF9,Rest,False,2.0,-0.0128095124842605,,2.0,,,
ENSG00000125657,TNFSF9,Stim48hr,False,2.0,0.0649532508023723,,2.0,,,
ENSG00000125657,TNFSF9,Stim8hr,False,2.0,0.0355572631912901,0.935291044786566,2.0,,,
ENSG00000154310,TNIK,Rest,False,2.0,0.0164866321770004,0.6498357417564609,2.0,,,
ENSG00000154310,TNIK,Stim48hr,False,2.0,0.0138058659942467,,2.0,,,
ENSG00000154310,TNIK,Stim8hr,False,2.0,0.0502671154302853,,2.0,,,
ENSG00000145901,TNIP1,Rest,False,2.0,-0.0672158167355666,-0.0033728580331006,1.0,,,
ENSG00000145901,TNIP1,Stim48hr,False,2.0,0.0132639130109176,,2.0,,,
ENSG00000145901,TNIP1,Stim8hr,False,2.0,0.0536091171853055,-0.5374618420271691,1.0,,,
ENSG00000168884,TNIP2,Rest,False,2.0,0.0259421771340374,1.0,2.0,,,
ENSG00000168884,TNIP2,Stim48hr,False,2.0,-0.0178794708765461,-0.4826054709673341,2.0,,,
ENSG00000168884,TNIP2,Stim8hr,False,2.0,0.0058646554746964,0.0734388053540512,2.0,,,
ENSG00000050730,TNIP3,Rest,False,2.0,0.0461574184470615,,2.0,,,
ENSG00000050730,TNIP3,Stim48hr,False,2.0,0.0650741193501289,,2.0,,,
ENSG00000050730,TNIP3,Stim8hr,False,2.0,0.0001615401695996,,2.0,,,
ENSG00000174292,TNK1,Rest,False,2.0,0.2362877558121962,1.0,1.0,0.1006294613616375,0.6593287696878719,0.6319404467827631
ENSG00000174292,TNK1,Stim48hr,False,2.0,,,,,,
ENSG00000174292,TNK1,Stim8hr,False,2.0,0.2566892955311713,-0.392020717370503,2.0,0.1511760392068013,0.7121745863207702,0.6104452495964525
ENSG00000061938,TNK2,Rest,True,1.0,0.1018306280475569,,0.0,,,
ENSG00000061938,TNK2,Stim48hr,True,1.0,0.0974075702590663,,0.0,,,
ENSG00000061938,TNK2,Stim8hr,True,1.0,0.0843243066879398,,0.0,,,
ENSG00000173273,TNKS,Rest,False,2.0,0.1945095704031031,,2.0,,,
ENSG00000173273,TNKS,Stim48hr,False,2.0,0.0716126582229463,1.0,2.0,,,
ENSG00000173273,TNKS,Stim8hr,False,2.0,0.1843919819090754,,2.0,,,
ENSG00000149115,TNKS1BP1,Rest,False,2.0,,,,,,
ENSG00000149115,TNKS1BP1,Stim48hr,False,2.0,,,,-0.021280393402139,0.524842662661692,0.1650804378934773
ENSG00000149115,TNKS1BP1,Stim8hr,False,2.0,,,,,,
ENSG00000107854,TNKS2,Rest,False,2.0,,,,,,
ENSG00000107854,TNKS2,Stim48hr,False,2.0,,,,,,
ENSG00000107854,TNKS2,Stim8hr,False,2.0,,,,,,
ENSG00000114854,TNNC1,Rest,False,2.0,0.045639692985771,-0.1706561580781203,2.0,0.0317652816676273,0.3154040646054601,0.1436846467598873
