ensembl,symbol,pearson_z,empirical_p,n_co_measured,class,kd_cd4_abs,kd_rpe1_ontarget_abs,min_kd_rank,well_powered,rpe1_cells,donor_robust,program
ENSG00000103257,SLC7A5,0.037,0.0067,7036,intermediate,5.755,0.585,0.3087,False,253,False,
ENSG00000198356,GET3,0.0369,0.43,7036,intermediate,5.724,0.963,0.3046,False,175,True,
ENSG00000134146,DPH6,0.0368,0.03,7036,intermediate,9.196,0.339,0.1107,False,127,True,
ENSG00000156990,RPUSD3,0.0368,0.3233,7036,intermediate,10.854,0.593,0.4689,False,112,True,
ENSG00000167543,TP53I13,0.0367,0.0333,7036,intermediate,4.917,0.503,0.2173,False,145,False,
ENSG00000168496,FEN1,0.0367,0.56,7036,intermediate,7.943,0.723,0.5405,True,50,False,
ENSG00000136908,DPM2,0.0366,0.01,7035,intermediate,6.626,0.75,0.4137,False,89,True,
ENSG00000088766,CRLS1,0.0365,0.28,7036,intermediate,11.816,0.557,0.435,False,51,True,
ENSG00000114933,INO80D,0.0365,0.0267,7036,intermediate,13.853,0.399,0.1955,False,59,False,
ENSG00000142864,SERBP1,0.0364,0.5467,7036,intermediate,4.893,2.188,0.2141,False,102,True,
ENSG00000196961,AP2A1,0.0359,0.1967,7036,intermediate,7.762,0.673,0.526,True,14,True,
ENSG00000108963,DPH1,0.0358,0.24,7035,intermediate,1.606,,0.0146,False,239,True,
ENSG00000163961,RNF168,0.0358,0.7367,7036,intermediate,10.67,0.58,0.4554,False,55,False,
ENSG00000084774,CAD,0.0357,0.5967,7036,intermediate,3.322,0.362,0.0572,False,96,True,
ENSG00000214113,LYRM4,0.0356,0.42,7036,intermediate,5.826,0.698,0.3212,False,20,False,
ENSG00000144426,NBEAL1,0.0355,0.5733,7036,intermediate,6.245,0.407,0.209,False,170,False,
ENSG00000197136,PCNX3,0.0353,0.4367,7036,intermediate,6.809,0.329,0.0949,False,176,True,
ENSG00000163041,H3-3A,0.035,0.03,7036,intermediate,27.906,2.545,0.9864,True,137,False,
ENSG00000168056,LTBP3,0.0349,0.36,7036,intermediate,5.867,0.715,0.3243,False,234,False,
ENSG00000092010,PSME1,0.0343,0.0733,7036,intermediate,32.244,1.181,0.8441,True,102,False,
ENSG00000110768,GTF2H1,0.0339,0.1733,7036,intermediate,4.237,0.635,0.1341,False,20,False,
ENSG00000095564,BTAF1,0.0339,0.7,7036,intermediate,16.473,0.505,0.3616,False,74,True,
ENSG00000175550,DRAP1,0.0338,0.0667,7036,intermediate,26.211,1.943,0.9672,True,148,False,
ENSG00000103540,CCP110,0.0338,0.17,7036,intermediate,10.143,0.493,0.3469,False,50,False,
ENSG00000124486,USP9X,0.0338,0.02,7036,intermediate,6.709,0.936,0.422,False,125,False,
ENSG00000147010,SH3KBP1,0.0337,0.6067,7036,intermediate,5.552,0.282,0.0508,False,34,False,
