gene,regulator_class,condition_specificity,n_signif_conditions,peak_condition
DMC1,condition-specific,,3,Stim8hr
DMTF1,global,0.4,3,Stim8hr
DMWD,global,0.556,2,Stim48hr
DMXL1,condition-specific,0.794,3,Stim48hr
DNAAF10,condition-specific,1.0,1,Rest
DNAAF2,condition-specific,0.635,2,Stim8hr
DNAAF5,condition-specific,0.935,3,Stim48hr
DNAAF9,condition-specific,1.0,1,Stim48hr
DNAJA1,global,0.571,3,Stim48hr
DNAJA2,global,0.333,3,Rest
DNAJA4,global,0.455,3,Rest
DNAJB1,global,0.5,3,Stim48hr
DNAJB11,global,0.588,3,Rest
DNAJB12,condition-specific,1.0,3,Rest
DNAJB14,global,0.455,3,Stim8hr
DNAJB2,condition-specific,0.6,3,Rest
DNAJB6,condition-specific,0.667,3,Stim48hr
DNAJB9,global,0.433,3,Stim48hr
DNAJC1,condition-specific,0.667,3,Stim8hr
DNAJC10,global,0.5,3,Stim8hr
DNAJC12,condition-specific,1.0,1,Stim48hr
DNAJC13,global,0.333,3,Rest
DNAJC14,global,0.5,3,Stim48hr
DNAJC15,global,0.5,3,Stim8hr
DNAJC16,condition-specific,0.636,3,Stim8hr
DNAJC18,global,0.5,3,Rest
DNAJC19,global,0.421,3,Stim8hr
DNAJC2,global,0.506,2,Rest
DNAJC21,condition-specific,0.841,3,Stim8hr
DNAJC24,global,0.416,3,Stim48hr
DNAJC27,global,0.333,3,Stim48hr
DNAJC3,global,0.502,3,Stim48hr
DNAJC30,condition-specific,0.714,3,Stim48hr
DNAJC4,condition-specific,0.99,2,Rest
DNAJC5,global,0.4,3,Stim8hr
DNAJC7,condition-specific,0.667,3,Rest
DNAJC8,global,0.56,3,Stim48hr
DNAJC9,global,0.5,3,Stim8hr
DNAL1,condition-specific,0.6,3,Rest
DNAL4,global,0.4,3,Rest
DNASE1L1,condition-specific,1.0,2,Stim48hr
DNASE2,global,0.5,3,Rest
DNM1L,condition-specific,1.0,3,Stim8hr
DNM3,condition-specific,,1,Stim48hr
DNMT3A,condition-specific,1.0,1,Rest
DNPEP,global,0.5,3,Stim8hr
DNPH1,condition-specific,1.0,3,Rest
DNTTIP1,global,0.56,3,Stim8hr
DOCK11,condition-specific,1.0,3,Stim48hr
DOCK2,global,0.544,3,Rest
DOCK7,condition-specific,,1,Stim48hr
DOCK8,condition-specific,0.667,2,Stim48hr
DOHH,global,0.529,3,Stim8hr
DOK1,global,0.333,3,Rest
DOK2,condition-specific,0.667,3,Stim48hr
DOK4,global,0.5,3,Stim48hr
DOK5,condition-specific,,1,Stim48hr
DOLK,condition-specific,0.793,2,Stim8hr
DOLPP1,global,0.566,3,Stim8hr
DOP1A,global,0.582,3,Stim48hr
DOP1B,condition-specific,0.67,3,Stim48hr
DOT1L,global,0.594,3,Stim48hr
DPCD,condition-specific,1.0,1,Stim48hr
DPEP2,condition-specific,,1,Rest
DPF3,condition-specific,1.0,1,Stim48hr
DPH1,condition-specific,0.686,3,Stim8hr
DPH2,condition-specific,0.705,3,Stim48hr
DPH3,condition-specific,0.75,3,Rest
DPH5,global,0.518,3,Stim48hr
DPH6,condition-specific,0.793,3,Stim48hr
DPH7,condition-specific,0.614,3,Stim8hr
DPM1,global,0.531,3,Stim8hr
DPM2,condition-specific,0.983,3,Stim8hr
DPM3,global,0.556,3,Stim8hr
DPP3,condition-specific,,1,Stim8hr
DPP4,condition-specific,1.0,3,Stim48hr
DPP7,condition-specific,1.0,1,Stim48hr
DPP8,condition-specific,0.6,3,Rest
DPY19L3,condition-specific,0.849,2,Stim48hr
DPY19L4,global,0.5,3,Rest
DPYD,condition-specific,,3,Rest
DPYSL2,condition-specific,,3,Rest
DR1,global,0.526,3,Stim48hr
DRAM1,condition-specific,0.667,3,Stim8hr
DRAM2,global,0.425,3,Stim8hr
DRAP1,global,0.571,3,Stim8hr
DRG2,global,0.5,3,Stim8hr
DSCC1,global,0.415,3,Stim8hr
DSTN,condition-specific,,3,Rest
DSTYK,global,0.444,3,Stim48hr
DTD1,condition-specific,1.0,3,Stim8hr
DTD2,condition-specific,0.667,3,Rest
DTNB,global,0.5,2,Stim48hr
DTNBP1,condition-specific,0.667,3,Stim8hr
DTWD1,condition-specific,0.699,3,Stim48hr
DTWD2,condition-specific,,1,Stim48hr
DTX3,condition-specific,1.0,2,Stim8hr
DTX3L,global,0.4,3,Rest
DUS1L,condition-specific,1.0,3,Rest
DUS2,condition-specific,0.6,3,Stim48hr
DUS3L,global,0.5,3,Stim8hr
DUS4L,global,0.545,2,Stim48hr
DUSP1,condition-specific,0.667,3,Stim48hr
DUSP10,condition-specific,0.667,3,Stim8hr
DUSP11,condition-specific,1.0,3,Stim48hr
DUSP12,global,0.56,2,Rest
DUSP14,global,0.5,3,Stim48hr
DUSP16,global,0.5,3,Stim8hr
DUSP18,global,0.5,3,Stim48hr
DUSP19,condition-specific,,1,Stim48hr
DUSP2,condition-specific,0.688,3,Stim8hr
DUSP22,condition-specific,1.0,3,Stim48hr
DUSP23,condition-specific,0.824,3,Stim48hr
DUSP3,condition-specific,0.833,2,Stim8hr
DUSP4,condition-specific,0.982,3,Stim8hr
DUSP5,condition-specific,1.0,2,Stim8hr
DUSP6,condition-specific,0.667,2,Stim8hr
DVL1,condition-specific,0.976,3,Rest
DVL2,condition-specific,1.0,3,Stim48hr
DVL3,global,0.538,3,Stim8hr
DXO,condition-specific,0.8,3,Stim8hr
DYM,condition-specific,1.0,3,Stim48hr
DYNC1LI1,condition-specific,,3,Stim8hr
DYNC1LI2,condition-specific,,3,Stim8hr
DYNC2H1,condition-specific,1.0,1,Rest
DYNC2I1,condition-specific,0.875,3,Stim8hr
DYNC2I2,condition-specific,0.6,3,Stim8hr
DYNC2LI1,condition-specific,1.0,3,Rest
DYNLL1,condition-specific,1.0,1,Stim8hr
DYNLL2,condition-specific,0.771,3,Stim8hr
DYNLT1,global,0.333,3,Stim8hr
DYNLT2,global,0.4,3,Stim48hr
DYNLT2B,condition-specific,1.0,3,Rest
DYNLT3,condition-specific,0.667,3,Stim48hr
DYRK1A,condition-specific,,3,Stim48hr
DYRK1B,global,0.429,3,Rest
DYRK2,condition-specific,0.8,3,Stim48hr
DYRK3,condition-specific,0.833,3,Stim8hr
DYRK4,condition-specific,1.0,3,Stim48hr
DZIP1,condition-specific,1.0,1,Stim8hr
DZIP3,condition-specific,0.625,3,Stim8hr
E2F1,global,0.579,3,Stim48hr
E2F3,global,0.553,3,Stim8hr
E2F4,condition-specific,1.0,3,Stim48hr
E2F5,condition-specific,0.667,2,Stim8hr
E2F6,condition-specific,0.613,3,Stim48hr
E2F7,condition-specific,0.833,3,Rest
E2F8,condition-specific,0.833,3,Stim48hr
EAF1,condition-specific,0.667,3,Stim48hr
EAF2,global,0.5,3,Stim48hr
EARS2,global,0.556,3,Stim48hr
EBAG9,condition-specific,1.0,1,Stim8hr
EBI3,global,0.5,2,Stim48hr
EBP,global,0.333,3,Stim8hr
EBPL,global,0.5,3,Stim48hr
ECE1,condition-specific,1.0,1,Stim8hr
ECH1,condition-specific,,3,Rest
ECHDC1,condition-specific,,3,Rest
ECHDC2,global,0.333,3,Stim8hr
ECHS1,global,0.478,3,Stim8hr
ECI1,condition-specific,1.0,3,Stim48hr
ECI2,condition-specific,0.987,3,Stim8hr
ECPAS,condition-specific,0.6,3,Stim48hr
ECSIT,condition-specific,0.952,3,Stim48hr
EDARADD,condition-specific,,2,Stim48hr
EDC3,global,0.501,3,Rest
EDC4,global,0.452,3,Stim48hr
EDEM1,global,0.385,3,Stim8hr
EDEM2,global,0.533,3,Rest
EDEM3,condition-specific,,3,Rest
EDF1,condition-specific,0.778,3,Stim48hr
EDRF1,condition-specific,0.683,2,Rest
EEA1,condition-specific,0.6,3,Stim48hr
EED,condition-specific,1.0,1,Stim48hr
EEF1AKMT1,condition-specific,1.0,3,Stim48hr
EEF1AKMT2,global,0.5,3,Stim48hr
EEF1AKMT3,condition-specific,1.0,1,Stim8hr
EEF1B2,condition-specific,0.93,3,Stim48hr
EEF1E1,global,0.508,3,Stim8hr
EEF1G,condition-specific,0.927,2,Stim8hr
EEF2K,global,0.533,3,Rest
EEFSEC,global,0.526,3,Rest
EEIG1,global,0.5,3,Stim48hr
EEIG2,global,0.535,3,Stim48hr
EFCAB11,global,0.333,3,Stim48hr
EFCAB14,condition-specific,1.0,3,Rest
EFCAB7,global,0.429,3,Stim48hr
EFHC1,condition-specific,1.0,1,Rest
EFHD2,global,0.411,3,Stim48hr
EFNB1,condition-specific,0.8,3,Stim48hr
EFR3A,condition-specific,0.63,3,Stim8hr
EGLN1,condition-specific,0.899,3,Stim8hr
EGLN2,condition-specific,0.667,3,Rest
EGLN3,condition-specific,1.0,2,Stim48hr
EGR1,condition-specific,0.75,2,Stim8hr
EGR2,condition-specific,0.771,2,Stim8hr
EGR3,condition-specific,0.99,2,Stim8hr
EHBP1,condition-specific,0.764,3,Stim8hr
EHBP1L1,global,0.444,3,Stim8hr
EHD1,global,0.571,3,Stim48hr
EHD3,condition-specific,1.0,1,Stim48hr
EHD4,global,0.5,3,Stim48hr
EHMT1,global,0.355,3,Rest
EHMT2,global,0.395,3,Rest
EI24,global,0.584,3,Rest
EID1,condition-specific,1.0,3,Stim48hr
EID2,global,0.337,3,Rest
EID3,condition-specific,,1,Stim8hr
EIF1,global,0.464,3,Stim8hr
EIF1AD,global,0.5,3,Stim48hr
EIF1AX,condition-specific,1.0,1,Stim8hr
EIF1AY,condition-specific,1.0,3,Rest
EIF1B,condition-specific,0.914,3,Stim48hr
EIF2A,global,0.571,3,Rest
EIF2AK1,condition-specific,1.0,3,Stim48hr
EIF2AK2,global,0.444,3,Stim8hr
EIF2AK3,global,0.5,3,Rest
EIF2AK4,global,0.386,3,Stim48hr
EIF2D,condition-specific,,3,Rest
EIF3H,global,0.532,3,Rest
EIF3J,global,0.469,3,Rest
EIF3K,global,0.49,3,Stim8hr
EIF3L,global,0.378,3,Stim48hr
EIF4A1,global,0.571,3,Stim48hr
EIF4A2,condition-specific,0.704,2,Stim8hr
EIF4B,global,0.418,3,Rest
EIF4E2,condition-specific,0.944,3,Stim48hr
EIF4E3,condition-specific,1.0,3,Stim48hr
EIF4EBP1,global,0.5,3,Rest
EIF4EBP2,condition-specific,1.0,3,Stim8hr
EIF4EBP3,condition-specific,1.0,1,Stim8hr
EIF4ENIF1,global,0.5,3,Rest
EIF4G1,condition-specific,0.691,2,Stim8hr
EIF4G2,global,0.397,3,Stim8hr
EIF4G3,condition-specific,1.0,3,Rest
EIF4H,condition-specific,0.657,3,Stim8hr
EIF5,global,0.5,2,Stim8hr
EIF5A2,global,0.5,3,Rest
EIPR1,global,0.487,3,Rest
ELAC1,condition-specific,1.0,2,Stim8hr
ELAC2,condition-specific,0.832,2,Stim8hr
ELAPOR1,global,0.5,2,Stim48hr
ELAVL1,global,0.342,3,Stim8hr
ELF4,global,0.525,3,Rest
ELK1,condition-specific,0.707,3,Stim8hr
ELK3,condition-specific,1.0,3,Stim8hr
ELK4,condition-specific,0.667,3,Stim8hr
ELL,condition-specific,1.0,1,Stim8hr
ELL2,condition-specific,1.0,2,Stim48hr
ELMO2,condition-specific,1.0,1,Stim8hr
ELMOD2,condition-specific,,3,Rest
ELOA,condition-specific,0.667,3,Stim48hr
ELOB,global,0.443,3,Stim8hr
ELOC,condition-specific,0.794,3,Stim8hr
ELOF1,global,0.362,3,Stim48hr
ELOVL1,global,0.444,3,Stim8hr
ELOVL5,condition-specific,0.667,3,Stim48hr
ELOVL6,condition-specific,1.0,3,Rest
ELP1,condition-specific,0.633,3,Stim8hr
ELP2,global,0.444,3,Stim8hr
ELP3,global,0.539,3,Stim8hr
ELP4,global,0.46,3,Stim8hr
ELP5,global,0.486,3,Stim8hr
ELP6,global,0.439,3,Rest
EMB,global,0.527,3,Stim8hr
EMC10,global,0.5,3,Stim8hr
EMC2,condition-specific,0.625,3,Stim48hr
EMC3,condition-specific,0.709,3,Stim48hr
EMC4,condition-specific,0.859,3,Stim48hr
EMC6,condition-specific,0.87,3,Stim48hr
EMC7,condition-specific,0.962,3,Stim48hr
EMC8,condition-specific,0.714,3,Stim48hr
EMC9,condition-specific,0.825,2,Stim8hr
EMD,condition-specific,1.0,3,Stim8hr
EME1,global,0.545,2,Stim48hr
EME2,condition-specific,1.0,1,Rest
EMG1,condition-specific,1.0,1,Stim8hr
EMILIN2,condition-specific,1.0,1,Stim48hr
EML2,global,0.483,3,Stim8hr
EML4,condition-specific,0.667,3,Stim48hr
EML5,condition-specific,,1,Stim48hr
EMP1,global,0.5,2,Stim48hr
EMP3,condition-specific,1.0,3,Rest
ENC1,condition-specific,1.0,1,Stim8hr
ENDOD1,condition-specific,1.0,3,Stim48hr
ENDOG,condition-specific,0.636,3,Rest
ENDOV,global,0.333,3,Stim8hr
ENG,condition-specific,,3,Rest
ENGASE,global,0.545,3,Stim48hr
ENKD1,global,0.5,3,Stim48hr
ENO1,condition-specific,0.906,3,Stim48hr
ENO2,condition-specific,0.7,3,Rest
ENOPH1,global,0.5,3,Rest
ENOSF1,condition-specific,,3,Stim48hr
ENOX2,condition-specific,1.0,3,Stim48hr
ENPP4,global,0.5,3,Stim8hr
ENSA,global,0.333,3,Rest
ENTPD1,condition-specific,1.0,1,Stim48hr
ENTPD4,condition-specific,1.0,3,Stim48hr
ENTPD5,global,0.5,3,Rest
ENTPD7,global,0.5,3,Stim48hr
ENTR1,condition-specific,0.909,3,Stim48hr
ENTREP3,global,0.5,3,Stim48hr
ENY2,condition-specific,1.0,1,Stim8hr
EOGT,condition-specific,1.0,3,Stim8hr
EOLA1,global,0.583,3,Rest
EOMES,condition-specific,,1,Stim8hr
EP300,global,0.434,3,Stim48hr
EPAS1,condition-specific,1.0,1,Stim48hr
EPB41,condition-specific,1.0,2,Stim48hr
EPB41L2,global,0.387,3,Stim48hr
EPB41L3,condition-specific,1.0,1,Stim8hr
EPC1,global,0.569,3,Stim8hr
EPC2,global,0.5,3,Stim8hr
EPG5,condition-specific,0.772,3,Stim48hr
EPHA4,condition-specific,1.0,1,Rest
EPHB6,condition-specific,0.667,2,Rest
EPHX2,condition-specific,1.0,3,Rest
EPM2A,condition-specific,,1,Stim8hr
EPM2AIP1,condition-specific,0.643,3,Stim8hr
EPN1,condition-specific,0.6,3,Stim48hr
EPOP,condition-specific,1.0,2,Stim48hr
EPS15,condition-specific,,3,Stim48hr
EPS15L1,global,0.594,3,Stim8hr
EPSTI1,global,0.429,3,Stim8hr
ERAL1,condition-specific,1.0,2,Stim48hr
ERAP1,global,0.375,3,Stim48hr
ERAP2,condition-specific,0.632,3,Stim48hr
ERBIN,condition-specific,0.6,3,Stim8hr
ERC1,condition-specific,1.0,3,Stim48hr
ERCC1,global,0.475,3,Stim48hr
ERCC4,condition-specific,0.609,3,Stim48hr
ERCC5,condition-specific,1.0,3,Stim8hr
ERCC6L,global,0.404,3,Rest
ERCC6L2,condition-specific,0.909,3,Stim8hr
ERCC8,global,0.333,3,Rest
ERF,condition-specific,0.962,3,Rest
ERG28,global,0.5,3,Stim48hr
ERGIC1,condition-specific,0.819,3,Stim8hr
ERGIC2,condition-specific,1.0,3,Stim48hr
ERGIC3,global,0.525,3,Stim8hr
ERI1,condition-specific,1.0,1,Stim48hr
ERI2,global,0.5,3,Rest
ERI3,condition-specific,1.0,3,Rest
ERICH1,global,0.533,3,Stim8hr
ERLEC1,global,0.5,3,Stim48hr
ERLIN1,condition-specific,1.0,3,Stim48hr
ERMARD,condition-specific,0.682,3,Stim8hr
ERMP1,global,0.368,3,Rest
ERN1,global,0.515,2,Rest
ERO1A,global,0.5,3,Rest
ERO1B,condition-specific,,3,Rest
ERP29,condition-specific,0.6,3,Stim48hr
ERP44,global,0.375,3,Stim8hr
ESCO1,condition-specific,1.0,3,Rest
ESD,condition-specific,0.875,3,Stim8hr
ESRRA,global,0.545,3,Stim48hr
ESYT1,condition-specific,0.75,2,Stim8hr
ESYT2,condition-specific,0.67,2,Stim8hr
ETAA1,condition-specific,,3,Stim48hr
ETFA,condition-specific,1.0,3,Rest
ETFB,global,0.488,3,Stim8hr
ETFDH,condition-specific,1.0,1,Rest
ETHE1,global,0.4,3,Stim48hr
ETNK1,condition-specific,0.852,3,Rest
ETS2,condition-specific,0.667,3,Stim8hr
ETV2,condition-specific,1.0,1,Rest
ETV3,condition-specific,1.0,3,Rest
ETV6,condition-specific,0.667,2,Rest
EVA1B,condition-specific,1.0,3,Stim48hr
EVI2A,condition-specific,0.667,3,Stim48hr
EVI2B,global,0.333,3,Stim8hr
EVI5L,condition-specific,1.0,2,Rest
EVL,global,0.429,3,Stim48hr
EWSR1,global,0.407,3,Rest
EXD2,condition-specific,1.0,3,Rest
EXD3,condition-specific,,1,Stim48hr
EXO1,condition-specific,1.0,1,Stim8hr
EXO5,condition-specific,0.667,3,Stim8hr
EXOC1,global,0.529,3,Rest
EXOC2,condition-specific,1.0,1,Stim8hr
EXOC3,condition-specific,1.0,1,Rest
EXOC6,global,0.525,3,Stim8hr
EXOC6B,condition-specific,0.667,3,Rest
EXOC7,global,0.569,3,Rest
EXOG,condition-specific,1.0,1,Rest
EXOSC1,condition-specific,0.673,2,Rest
EXOSC10,condition-specific,1.0,1,Stim8hr
EXT1,condition-specific,0.989,3,Rest
EXT2,condition-specific,0.978,3,Rest
EXTL2,condition-specific,1.0,1,Stim8hr
EXTL3,condition-specific,,2,Stim48hr
EYA3,condition-specific,0.75,3,Stim8hr
EZH1,condition-specific,1.0,3,Rest
EZH2,global,0.483,3,Stim8hr
EZR,condition-specific,1.0,2,Stim8hr
F11R,condition-specific,1.0,2,Rest
F2R,condition-specific,1.0,3,Stim8hr
F5,global,0.476,3,Stim8hr
FAAP100,global,0.583,2,Stim48hr
FAAP20,condition-specific,0.833,2,Stim8hr
FAAP24,condition-specific,1.0,1,Stim8hr
FABP5,condition-specific,1.0,3,Rest
FADS1,global,0.462,3,Rest
FADS2,global,0.4,3,Stim48hr
FAF1,global,0.4,3,Stim8hr
FAF2,global,0.408,3,Stim48hr
FAH,condition-specific,0.6,3,Stim48hr
FAHD1,global,0.429,3,Stim48hr
FAHD2B,condition-specific,1.0,3,Rest
FAIM,condition-specific,0.667,3,Stim48hr
FAM107B,condition-specific,1.0,2,Rest
FAM110A,condition-specific,1.0,1,Rest
FAM111A,global,0.5,3,Rest
FAM111B,condition-specific,1.0,3,Stim8hr
FAM114A2,condition-specific,0.667,3,Stim48hr
FAM117A,condition-specific,1.0,3,Stim48hr
FAM117B,condition-specific,0.714,2,Stim48hr
FAM118A,condition-specific,1.0,1,Stim8hr
FAM118B,condition-specific,0.967,3,Stim48hr
FAM120A,global,0.517,3,Rest
FAM120AOS,global,0.5,3,Stim8hr
FAM120B,condition-specific,,3,Rest
FAM120C,condition-specific,1.0,1,Stim8hr
FAM131A,condition-specific,1.0,1,Rest
FAM133B,condition-specific,0.8,3,Stim48hr
FAM136A,condition-specific,0.986,3,Stim48hr
FAM13B,global,0.474,3,Rest
FAM161A,condition-specific,0.838,3,Stim8hr
FAM161B,condition-specific,1.0,1,Stim48hr
FAM162A,global,0.583,3,Stim48hr
FAM168A,condition-specific,,3,Stim8hr
FAM168B,condition-specific,1.0,3,Stim8hr
FAM174A,condition-specific,,2,Stim48hr
FAM174C,condition-specific,0.765,3,Stim48hr
FAM177A1,condition-specific,0.75,3,Stim8hr
FAM184A,condition-specific,1.0,3,Stim48hr
FAM185A,condition-specific,0.667,3,Stim8hr
FAM193B,condition-specific,1.0,3,Rest
FAM199X,condition-specific,1.0,3,Stim48hr
FAM200A,condition-specific,0.667,3,Stim48hr
FAM200B,global,0.5,3,Stim8hr
FAM204A,condition-specific,0.629,3,Stim8hr
FAM209B,condition-specific,1.0,1,Rest
FAM20B,condition-specific,0.847,3,Stim8hr
FAM210B,global,0.526,3,Stim48hr
FAM216A,global,0.417,3,Rest
FAM217B,condition-specific,0.6,3,Stim48hr
FAM219A,condition-specific,1.0,3,Stim48hr
FAM219B,global,0.421,3,Stim8hr
FAM221A,condition-specific,0.667,3,Rest
FAM222B,condition-specific,1.0,3,Stim8hr
FAM229B,condition-specific,1.0,1,Stim48hr
FAM234B,condition-specific,0.667,2,Stim48hr
FAM241A,global,0.357,3,Rest
FAM241B,condition-specific,1.0,1,Stim48hr
FAM24B,global,0.5,3,Stim48hr
FAM3A,condition-specific,0.667,3,Stim48hr
FAM3C,condition-specific,0.79,3,Rest
FAM43A,condition-specific,1.0,1,Stim8hr
FAM50A,global,0.5,3,Stim8hr
FAM50B,global,0.5,3,Rest
FAM53B,global,0.5,3,Rest
FAM53C,condition-specific,0.6,3,Rest
FAM76A,condition-specific,0.875,3,Rest
FAM76B,condition-specific,0.667,3,Stim8hr
FAM78A,condition-specific,0.6,3,Stim8hr
FAM83D,condition-specific,,3,Rest
FAM89A,condition-specific,1.0,3,Rest
FAM89B,condition-specific,0.995,2,Rest
FAM8A1,condition-specific,1.0,2,Rest
FAM91A1,global,0.55,3,Rest
FAM98A,condition-specific,0.73,3,Stim8hr
FAM98B,global,0.443,3,Stim48hr
FAM98C,condition-specific,1.0,1,Rest
FAN1,global,0.5,3,Rest
FANCA,global,0.464,3,Stim48hr
FANCB,global,0.544,3,Stim8hr
FANCC,condition-specific,0.916,3,Stim48hr
FANCD2,global,0.512,3,Rest
FANCE,global,0.4,3,Rest
FANCF,global,0.503,3,Rest
FANCG,condition-specific,1.0,3,Stim48hr
FANCI,global,0.546,2,Rest
FANCL,condition-specific,0.646,2,Stim48hr
FANCM,condition-specific,0.891,2,Stim8hr
FAR1,condition-specific,0.833,3,Stim8hr
FAR2,condition-specific,,1,Rest
FARP2,condition-specific,,3,Rest
FARS2,condition-specific,0.981,3,Stim48hr
FAS,condition-specific,0.667,3,Stim8hr
FASLG,condition-specific,1.0,2,Stim8hr
FASTK,global,0.333,3,Rest
FASTKD1,global,0.5,3,Stim48hr
FASTKD2,condition-specific,1.0,3,Stim8hr
FASTKD3,global,0.333,3,Stim8hr
FASTKD5,condition-specific,0.884,3,Stim48hr
FBF1,condition-specific,0.933,3,Rest
FBH1,global,0.5,3,Stim8hr
FBRS,condition-specific,0.621,3,Stim8hr
FBXL12,condition-specific,0.6,3,Rest
FBXL15,condition-specific,0.879,3,Rest
FBXL17,condition-specific,0.667,3,Rest
FBXL18,condition-specific,0.667,2,Stim48hr
FBXL19,condition-specific,0.657,3,Stim48hr
FBXL20,global,0.588,3,Rest
FBXL3,condition-specific,0.607,3,Stim8hr
FBXL4,condition-specific,0.75,3,Stim8hr
FBXL5,condition-specific,0.636,3,Rest
FBXL6,global,0.474,3,Stim48hr
FBXL8,global,0.556,2,Stim48hr
FBXO11,global,0.424,3,Stim8hr
FBXO2,condition-specific,1.0,1,Rest
FBXO21,global,0.444,3,Rest
FBXO22,condition-specific,,3,Rest
FBXO25,condition-specific,1.0,3,Rest
FBXO28,condition-specific,0.77,3,Rest
FBXO3,condition-specific,0.739,2,Rest
FBXO30,condition-specific,0.667,3,Stim8hr
FBXO31,condition-specific,1.0,1,Stim48hr
FBXO32,global,0.544,3,Rest
FBXO33,global,0.5,3,Stim48hr
FBXO34,condition-specific,,3,Rest
FBXO38,condition-specific,0.877,3,Rest
FBXO4,condition-specific,1.0,3,Rest
FBXO41,condition-specific,0.8,3,Stim8hr
FBXO42,condition-specific,0.693,3,Stim48hr
FBXO43,condition-specific,,3,Rest
FBXO44,condition-specific,1.0,3,Stim48hr
FBXO45,global,0.333,3,Stim8hr
FBXO46,condition-specific,0.616,3,Stim48hr
FBXO48,condition-specific,1.0,3,Stim48hr
FBXO6,global,0.571,3,Stim8hr
FBXO7,global,0.455,3,Stim8hr
FBXO8,condition-specific,0.846,3,Stim48hr
FBXO9,global,0.5,3,Stim48hr
FBXW2,condition-specific,0.891,3,Stim8hr
FBXW4,condition-specific,,3,Stim8hr
FBXW5,condition-specific,1.0,2,Rest
FBXW7,global,0.454,3,Stim8hr
FBXW8,global,0.5,3,Stim8hr
FBXW9,condition-specific,0.857,2,Stim48hr
FCGRT,condition-specific,0.75,2,Rest
FCHO1,condition-specific,0.932,3,Stim48hr
FCHSD1,condition-specific,,3,Rest
FCHSD2,global,0.333,3,Rest
FCMR,global,0.463,3,Stim48hr
FCSK,condition-specific,,3,Rest
FDFT1,condition-specific,0.824,3,Stim48hr
FDX1,global,0.549,3,Stim48hr
FDXACB1,global,0.5,3,Stim48hr
FDXR,global,0.571,3,Stim8hr
FECH,condition-specific,1.0,2,Stim48hr
FEM1A,condition-specific,0.653,3,Stim8hr
FEM1B,condition-specific,1.0,3,Stim48hr
FEM1C,global,0.5,3,Stim8hr
FEN1,global,0.533,3,Stim8hr
FER,condition-specific,,3,Stim8hr
FERMT3,condition-specific,0.714,3,Stim8hr
FERRY3,global,0.333,3,Stim8hr
FES,condition-specific,1.0,1,Stim48hr
FEZ2,global,0.5,3,Stim48hr
FGD3,condition-specific,0.714,3,Stim48hr
FGF11,condition-specific,1.0,1,Stim48hr
FGFR1OP2,condition-specific,0.604,3,Stim8hr
FGGY,condition-specific,,1,Stim48hr
FGL2,global,0.429,3,Stim8hr
FH,condition-specific,0.636,2,Rest
FHIP1B,condition-specific,0.8,3,Stim48hr
FHIP2A,global,0.405,3,Stim8hr
FHIP2B,condition-specific,0.625,3,Stim8hr
FHL3,global,0.462,3,Stim48hr
FHOD1,condition-specific,0.75,3,Stim48hr
FIBP,condition-specific,0.878,3,Stim8hr
FICD,condition-specific,1.0,2,Stim8hr
FIG4,global,0.333,3,Stim8hr
FIGNL1,global,0.592,3,Rest
FIRRM,global,0.44,3,Stim8hr
FIS1,condition-specific,0.636,3,Rest
FITM1,condition-specific,1.0,1,Rest
FITM2,condition-specific,0.88,3,Stim8hr
FIZ1,condition-specific,0.667,3,Stim48hr
FKBP11,global,0.583,3,Stim48hr
FKBP14,global,0.333,3,Stim8hr
FKBP15,condition-specific,1.0,2,Stim8hr
FKBP1B,condition-specific,1.0,1,Stim48hr
FKBP3,condition-specific,1.0,3,Stim8hr
FKBP4,condition-specific,,3,Stim48hr
FKBP5,condition-specific,0.625,3,Stim8hr
FKBP7,condition-specific,,1,Stim8hr
FKBP8,condition-specific,0.618,3,Stim48hr
FKRP,global,0.476,3,Stim48hr
FKTN,global,0.5,3,Stim48hr
FLAD1,global,0.551,3,Stim48hr
FLCN,condition-specific,0.969,3,Stim48hr
FLI1,global,0.476,3,Rest
FLII,condition-specific,1.0,3,Rest
FLNA,global,0.444,3,Rest
FLNB,condition-specific,,3,Rest
FLOT1,condition-specific,0.6,3,Rest
FLOT2,global,0.5,3,Stim48hr
FLT1,condition-specific,0.985,3,Rest
FLT3LG,condition-specific,0.667,3,Stim48hr
FLVCR1,condition-specific,1.0,3,Stim48hr
FLYWCH2,condition-specific,0.75,3,Stim8hr
FMC1,condition-specific,0.833,2,Stim8hr
FMNL1,condition-specific,0.75,3,Stim8hr
FMNL2,condition-specific,,1,Stim8hr
FMNL3,condition-specific,0.6,3,Stim8hr
FMR1,condition-specific,0.935,3,Stim48hr
FN3K,condition-specific,1.0,1,Stim48hr
FN3KRP,condition-specific,1.0,3,Stim48hr
FNBP1,condition-specific,0.636,3,Stim8hr
FNBP4,global,0.433,3,Stim8hr
FNDC10,condition-specific,0.625,3,Stim8hr
FNDC3A,global,0.5,3,Stim48hr
FNDC3B,global,0.5,3,Stim48hr
FNIP1,global,0.364,3,Stim8hr
FNIP2,condition-specific,1.0,3,Stim48hr
FOS,condition-specific,1.0,1,Stim48hr
FOSL1,global,0.5,2,Stim8hr
FOSL2,condition-specific,0.701,3,Stim48hr
FOXJ2,condition-specific,1.0,3,Stim48hr
FOXJ3,condition-specific,1.0,3,Stim48hr
FOXK1,condition-specific,0.735,3,Stim8hr
