rotation,pc,tail,set_name,n_overlap,set_size,n_drawn,background_size,pvalue,overlap_genes,fdr
varimax,8,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,8,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,8,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,8,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,8,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,8,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,8,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,8,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,9,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,9,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,9,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,9,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,9,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,9,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,9,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,9,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,10,top,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,10,top,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,10,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,10,top,MEDIATOR,0,3,40,2000,1.0,,1.0
varimax,10,bottom,IFN_ISG,0,14,40,2000,1.0,,1.0
varimax,10,bottom,TCR_PROXIMAL,0,7,40,2000,1.0,,1.0
varimax,10,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,10,bottom,MEDIATOR,0,3,40,2000,1.0,,1.0
