perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
TAF6L,Stim8hr,SAGA/chromatin,MYC,-0.777,0.105,-0.75,0.103,0.0,0.946
TAF6L,Stim8hr,SAGA/chromatin,GMPR,1.424,0.267,1.155,0.241,1.0,0.991
TAF6L,Stim8hr,SAGA/chromatin,GGH,0.968,0.123,0.922,0.12,1.0,0.997
TAF6L,Stim8hr,SAGA/chromatin,NEK1,0.719,0.119,0.688,0.116,1.0,0.812
TAF6L,Stim8hr,SAGA/chromatin,DDX60,0.859,0.168,0.787,0.16,1.0,0.896
TAF6L,Stim8hr,SAGA/chromatin,IFI44,1.054,0.23,0.899,0.212,1.0,0.931
TAF6L,Stim8hr,SAGA/chromatin,CGREF1,-2.218,0.373,-1.525,0.309,0.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,CALHM2,1.03,0.206,0.905,0.193,1.0,0.951
TAF6L,Stim8hr,SAGA/chromatin,STAT4,1.254,0.135,1.184,0.131,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,PARP9,0.766,0.099,0.742,0.097,1.0,0.947
TAF6L,Stim8hr,SAGA/chromatin,SHF,-0.993,0.271,-0.801,0.244,0.001,0.812
TAF6L,Stim8hr,SAGA/chromatin,APH1B,1.109,0.23,0.946,0.212,1.0,0.955
TAF6L,Stim8hr,SAGA/chromatin,SCARB2,1.746,0.215,1.518,0.2,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,ANXA3,2.274,0.577,1.089,0.4,0.997,0.896
TAF6L,Stim8hr,SAGA/chromatin,PARVG,0.759,0.138,0.714,0.134,1.0,0.832
TAF6L,Stim8hr,SAGA/chromatin,TMEM117,1.187,0.292,0.929,0.258,1.0,0.909
TAF6L,Stim8hr,SAGA/chromatin,CD27,-1.663,0.197,-1.476,0.186,0.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,GLIPR1,1.264,0.172,1.152,0.165,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,SDSL,2.48,0.566,1.212,0.396,0.999,0.944
TAF6L,Stim8hr,SAGA/chromatin,SUOX,1.388,0.35,0.992,0.296,1.0,0.916
TAF6L,Stim8hr,SAGA/chromatin,SORD,-0.989,0.209,-0.866,0.195,0.0,0.925
TAF6L,Stim8hr,SAGA/chromatin,MFGE8,1.199,0.211,1.047,0.197,1.0,0.99
TAF6L,Stim8hr,SAGA/chromatin,ITGAX,0.989,0.267,0.802,0.24,1.0,0.817
TAF6L,Stim8hr,SAGA/chromatin,TGFB1I1,3.021,0.766,1.036,0.449,0.99,0.843
TAF6L,Stim8hr,SAGA/chromatin,NOL3,1.316,0.298,1.019,0.263,1.0,0.951
TAF6L,Stim8hr,SAGA/chromatin,IMPA2,-1.181,0.194,-1.051,0.183,0.0,0.995
TAF6L,Stim8hr,SAGA/chromatin,SECTM1,2.22,0.36,1.559,0.302,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,MIEN1,0.668,0.068,0.658,0.068,1.0,0.857
TAF6L,Stim8hr,SAGA/chromatin,IGFBP4,-1.237,0.37,-0.855,0.308,0.003,0.81
TAF6L,Stim8hr,SAGA/chromatin,EVA1B,1.523,0.197,1.352,0.185,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,MAP3K6,1.329,0.346,0.956,0.293,0.999,0.897
TAF6L,Stim8hr,SAGA/chromatin,CTTNBP2NL,1.384,0.415,0.885,0.332,0.996,0.817
TAF6L,Stim8hr,SAGA/chromatin,CREG1,0.908,0.093,0.883,0.092,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,XCL1,2.123,0.447,1.286,0.348,1.0,0.978
TAF6L,Stim8hr,SAGA/chromatin,RGS16,-0.977,0.15,-0.911,0.144,0.0,0.988
TAF6L,Stim8hr,SAGA/chromatin,RGL1,1.581,0.32,1.184,0.277,1.0,0.985
TAF6L,Stim8hr,SAGA/chromatin,DUSP10,0.775,0.155,0.718,0.149,1.0,0.814
TAF6L,Stim8hr,SAGA/chromatin,RAB13,1.458,0.43,0.908,0.34,0.996,0.83
TAF6L,Stim8hr,SAGA/chromatin,PSEN2,0.82,0.175,0.745,0.167,1.0,0.832
TAF6L,Stim8hr,SAGA/chromatin,KANSL1L,0.983,0.181,0.887,0.172,1.0,0.96
TAF6L,Stim8hr,SAGA/chromatin,ADPRH,1.303,0.19,1.166,0.18,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,MED12L,-1.232,0.371,-0.851,0.308,0.003,0.806
TAF6L,Stim8hr,SAGA/chromatin,RMND5B,0.799,0.135,0.754,0.131,1.0,0.901
TAF6L,Stim8hr,SAGA/chromatin,TNFRSF21,-1.464,0.307,-1.119,0.269,0.0,0.976
TAF6L,Stim8hr,SAGA/chromatin,ARHGAP18,0.918,0.164,0.844,0.158,1.0,0.95
TAF6L,Stim8hr,SAGA/chromatin,TMEM140,1.263,0.191,1.128,0.181,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,USP6NL,1.394,0.318,1.048,0.276,1.0,0.954
TAF6L,Stim8hr,SAGA/chromatin,MSRB2,1.175,0.195,1.046,0.184,1.0,0.994
TAF6L,Stim8hr,SAGA/chromatin,RSU1,0.721,0.1,0.698,0.098,1.0,0.875
TAF6L,Stim8hr,SAGA/chromatin,ADD3,0.895,0.144,0.839,0.139,1.0,0.966
TAF6L,Stim8hr,SAGA/chromatin,SLC43A1,-1.077,0.181,-0.973,0.172,0.0,0.988
TAF6L,Stim8hr,SAGA/chromatin,SERPINH1,1.085,0.166,0.995,0.159,1.0,0.995
TAF6L,Stim8hr,SAGA/chromatin,GLB1L2,-1.289,0.242,-1.083,0.221,0.0,0.988
TAF6L,Stim8hr,SAGA/chromatin,CNKSR2,-1.426,0.251,-1.182,0.229,0.0,0.995
TAF6L,Stim8hr,SAGA/chromatin,ITPR1,-0.85,0.124,-0.81,0.121,0.0,0.969
TAF6L,Stim8hr,SAGA/chromatin,UEVLD,0.947,0.099,0.918,0.098,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,C4orf33,1.112,0.187,0.998,0.178,1.0,0.99
TAF6L,Stim8hr,SAGA/chromatin,INPP1,0.779,0.143,0.73,0.139,1.0,0.853
TAF6L,Stim8hr,SAGA/chromatin,DST,1.394,0.366,0.969,0.306,0.999,0.895
TAF6L,Stim8hr,SAGA/chromatin,CYSLTR2,2.074,0.508,1.125,0.374,0.999,0.925
TAF6L,Stim8hr,SAGA/chromatin,HOMER1,-0.751,0.123,-0.716,0.12,0.0,0.862
TAF6L,Stim8hr,SAGA/chromatin,RASGRP3,1.123,0.229,0.959,0.212,1.0,0.961
TAF6L,Stim8hr,SAGA/chromatin,IFIT5,1.002,0.166,0.919,0.159,1.0,0.982
TAF6L,Stim8hr,SAGA/chromatin,PRDM8,1.123,0.221,0.968,0.206,1.0,0.969
TAF6L,Stim8hr,SAGA/chromatin,BCL2L11,-0.87,0.135,-0.822,0.131,0.0,0.965
TAF6L,Stim8hr,SAGA/chromatin,SCOC,0.674,0.084,0.659,0.083,1.0,0.811
TAF6L,Stim8hr,SAGA/chromatin,CD96,0.908,0.104,0.877,0.103,1.0,0.998
TAF6L,Stim8hr,SAGA/chromatin,TEX29,1.828,0.523,0.966,0.38,0.995,0.842
TAF6L,Stim8hr,SAGA/chromatin,GPR15,-1.253,0.269,-1.013,0.242,0.0,0.961
TAF6L,Stim8hr,SAGA/chromatin,PIP4P2,1.465,0.193,1.307,0.182,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,MOV10,0.742,0.107,0.715,0.105,1.0,0.893
TAF6L,Stim8hr,SAGA/chromatin,RHOC,1.615,0.192,1.441,0.182,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,TTN,1.697,0.433,1.053,0.341,0.999,0.915
TAF6L,Stim8hr,SAGA/chromatin,PABIR3,1.026,0.166,0.941,0.159,1.0,0.987
TAF6L,Stim8hr,SAGA/chromatin,FBXO32,1.464,0.34,1.063,0.29,1.0,0.951
TAF6L,Stim8hr,SAGA/chromatin,MX1,0.985,0.208,0.863,0.195,1.0,0.923
TAF6L,Stim8hr,SAGA/chromatin,FMNL2,-1.896,0.364,-1.323,0.304,0.0,0.992
TAF6L,Stim8hr,SAGA/chromatin,FAIM,0.844,0.169,0.772,0.162,1.0,0.876
TAF6L,Stim8hr,SAGA/chromatin,F11R,0.948,0.18,0.858,0.171,1.0,0.945
TAF6L,Stim8hr,SAGA/chromatin,PINK1,1.02,0.199,0.903,0.187,1.0,0.956
TAF6L,Stim8hr,SAGA/chromatin,FCER1G,2.561,0.52,1.359,0.379,1.0,0.979
TAF6L,Stim8hr,SAGA/chromatin,RCAN1,0.869,0.201,0.767,0.189,1.0,0.833
TAF6L,Stim8hr,SAGA/chromatin,ZFYVE28,1.159,0.228,0.991,0.211,1.0,0.973
TAF6L,Stim8hr,SAGA/chromatin,GAB3,0.856,0.174,0.778,0.166,1.0,0.877
TAF6L,Stim8hr,SAGA/chromatin,PRMT2,0.724,0.098,0.701,0.097,1.0,0.886
TAF6L,Stim8hr,SAGA/chromatin,IKZF3,1.056,0.216,0.916,0.201,1.0,0.95
TAF6L,Stim8hr,SAGA/chromatin,TBC1D24,-0.73,0.129,-0.692,0.126,0.0,0.803
TAF6L,Stim8hr,SAGA/chromatin,TAF6L,-3.375,0.355,-2.391,0.299,0.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,SLC25A45,0.767,0.123,0.731,0.12,1.0,0.887
TAF6L,Stim8hr,SAGA/chromatin,DHRS3,-1.286,0.259,-1.055,0.235,0.0,0.978
TAF6L,Stim8hr,SAGA/chromatin,EXTL2,1.307,0.197,1.16,0.186,1.0,0.999
TAF6L,Stim8hr,SAGA/chromatin,SLAMF6,-0.919,0.181,-0.831,0.172,0.0,0.924
TAF6L,Stim8hr,SAGA/chromatin,SGCB,0.942,0.158,0.871,0.152,1.0,0.97
TAF6L,Stim8hr,SAGA/chromatin,ANTXR2,0.82,0.16,0.757,0.154,1.0,0.868
TAF6L,Stim8hr,SAGA/chromatin,TMEM169,1.614,0.294,1.258,0.26,1.0,0.995
TAF6L,Stim8hr,SAGA/chromatin,CCDC141,2.329,0.346,1.675,0.293,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,CD200R1,1.043,0.272,0.84,0.244,1.0,0.852
TAF6L,Stim8hr,SAGA/chromatin,CCDC191,1.272,0.377,0.869,0.312,0.997,0.819
TAF6L,Stim8hr,SAGA/chromatin,SMIM14,2.177,0.447,1.319,0.348,1.0,0.983
TAF6L,Stim8hr,SAGA/chromatin,CRELD1,0.725,0.12,0.693,0.117,1.0,0.821
TAF6L,Stim8hr,SAGA/chromatin,IL15,2.104,0.394,1.396,0.321,1.0,0.994
