perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
CPSF6,Stim8hr,Repro-promoted,SEPTIN8,-1.063,0.275,-0.853,0.246,0.0,0.861
CPSF6,Stim8hr,Repro-promoted,TMEM200A,2.635,0.437,1.623,0.343,1.0,0.999
CPSF6,Stim8hr,Repro-promoted,STXBP5,0.743,0.13,0.704,0.127,1.0,0.826
CPSF6,Stim8hr,Repro-promoted,ZNF704,1.03,0.232,0.876,0.214,1.0,0.913
CPSF6,Stim8hr,Repro-promoted,TAGAP,0.927,0.181,0.838,0.172,1.0,0.929
CPSF6,Stim8hr,Repro-promoted,CTSB,0.94,0.148,0.878,0.143,1.0,0.98
CPSF6,Stim8hr,Repro-promoted,GEM,2.593,0.616,1.158,0.412,0.998,0.918
CPSF6,Stim8hr,Repro-promoted,DYNLT3,0.866,0.15,0.806,0.145,1.0,0.936
CPSF6,Stim8hr,Repro-promoted,HECTD2,1.89,0.206,1.661,0.193,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,ZCCHC24,1.725,0.451,1.037,0.349,0.999,0.902
CPSF6,Stim8hr,Repro-promoted,ZNF22,0.851,0.12,0.813,0.117,1.0,0.974
CPSF6,Stim8hr,Repro-promoted,IFI27L1,0.959,0.191,0.857,0.18,1.0,0.934
CPSF6,Stim8hr,Repro-promoted,ABTB2,0.934,0.243,0.783,0.222,1.0,0.814
CPSF6,Stim8hr,Repro-promoted,MSS51,0.966,0.242,0.811,0.221,1.0,0.847
CPSF6,Stim8hr,Repro-promoted,SERPINB8,0.972,0.178,0.881,0.169,1.0,0.96
CPSF6,Stim8hr,Repro-promoted,CDYL2,0.817,0.179,0.739,0.17,1.0,0.818
CPSF6,Stim8hr,Repro-promoted,BEX3,1.33,0.398,0.877,0.323,0.997,0.817
CPSF6,Stim8hr,Repro-promoted,MVD,-1.023,0.248,-0.851,0.227,0.0,0.88
CPSF6,Stim8hr,Repro-promoted,CCDC88B,-0.914,0.133,-0.864,0.129,0.0,0.985
CPSF6,Stim8hr,Repro-promoted,RBPJ,0.836,0.12,0.799,0.117,1.0,0.966
CPSF6,Stim8hr,Repro-promoted,GNG4,1.095,0.24,0.922,0.22,1.0,0.937
CPSF6,Stim8hr,Repro-promoted,TAP1,-0.791,0.088,-0.772,0.086,0.0,0.985
CPSF6,Stim8hr,Repro-promoted,BMP1,1.247,0.267,1.011,0.241,1.0,0.961
CPSF6,Stim8hr,Repro-promoted,AXIN2,1.988,0.47,1.156,0.358,0.999,0.944
CPSF6,Stim8hr,Repro-promoted,IL7R,1.107,0.28,0.882,0.25,1.0,0.883
CPSF6,Stim8hr,Repro-promoted,SNTB2,1.229,0.139,1.156,0.135,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,SLC35G2,2.321,0.291,1.819,0.257,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,ATF5,-0.928,0.198,-0.823,0.186,0.0,0.9
CPSF6,Stim8hr,Repro-promoted,IL13,-3.074,0.562,-1.513,0.394,0.0,0.991
CPSF6,Stim8hr,Repro-promoted,ZEB2,1.125,0.2,0.995,0.188,1.0,0.985
CPSF6,Stim8hr,Repro-promoted,RAMAC,-0.984,0.2,-0.87,0.188,0.0,0.935
CPSF6,Stim8hr,Repro-promoted,ZNF35,1.45,0.325,1.078,0.28,1.0,0.961
CPSF6,Stim8hr,Repro-promoted,ALCAM,1.09,0.144,1.021,0.139,1.0,0.999
CPSF6,Stim8hr,Repro-promoted,SIK2,0.974,0.139,0.916,0.134,1.0,0.993
CPSF6,Stim8hr,Repro-promoted,FOS,1.714,0.488,0.964,0.366,0.996,0.85
CPSF6,Stim8hr,Repro-promoted,LONRF2,2.144,0.515,1.15,0.377,0.999,0.933
CPSF6,Stim8hr,Repro-promoted,MTSS1,1.787,0.41,1.154,0.329,1.0,0.958
CPSF6,Stim8hr,Repro-promoted,CAVIN3,2.059,0.32,1.542,0.277,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,S1PR1,-1.146,0.189,-1.026,0.179,0.0,0.993
CPSF6,Stim8hr,Repro-promoted,PKIA,1.347,0.166,1.236,0.159,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,TRIM8,0.808,0.12,0.772,0.118,1.0,0.944
CPSF6,Stim8hr,Repro-promoted,NETO2,0.918,0.136,0.866,0.132,1.0,0.983
CPSF6,Stim8hr,Repro-promoted,CXXC5,2.893,0.366,2.014,0.305,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,ENC1,1.614,0.365,1.125,0.305,1.0,0.962
CPSF6,Stim8hr,Repro-promoted,SPSB1,1.079,0.269,0.873,0.242,1.0,0.883
CPSF6,Stim8hr,Repro-promoted,TCEA2,-1.945,0.553,-0.974,0.391,0.006,0.84
CPSF6,Stim8hr,Repro-promoted,NINJ2,1.264,0.316,0.953,0.274,1.0,0.91
CPSF6,Stim8hr,Repro-promoted,ISG20,-1.183,0.213,-1.031,0.199,0.0,0.987
CPSF6,Stim8hr,Repro-promoted,CTSW,2.396,0.439,1.47,0.344,1.0,0.995
CPSF6,Stim8hr,Repro-promoted,ZMAT3,1.137,0.203,1.002,0.19,1.0,0.986
CPSF6,Stim8hr,Repro-promoted,ZNF596,1.363,0.354,0.968,0.298,0.999,0.9
CPSF6,Stim8hr,Repro-promoted,HPSE,-1.39,0.364,-0.971,0.304,0.001,0.898
CPSF6,Stim8hr,Repro-promoted,PPP1R3B,1.251,0.259,1.026,0.235,1.0,0.97
CPSF6,Stim8hr,Repro-promoted,INSM1,2.092,0.427,1.311,0.338,1.0,0.984
CPSF6,Stim8hr,Repro-promoted,TNFRSF10D,2.648,0.328,1.96,0.282,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,MFSD4A,1.94,0.522,1.026,0.38,0.997,0.877
CPSF6,Stim8hr,Repro-promoted,CHST2,1.686,0.25,1.401,0.228,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,CST6,1.835,0.482,1.044,0.363,0.998,0.897
CPSF6,Stim8hr,Repro-promoted,CLCF1,3.745,0.6,1.723,0.407,1.0,0.997
CPSF6,Stim8hr,Repro-promoted,BAIAP2,2.287,0.306,1.752,0.268,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,LYSMD3,-0.89,0.208,-0.779,0.195,0.0,0.841
CPSF6,Stim8hr,Repro-promoted,EID2B,1.573,0.329,1.162,0.283,1.0,0.979
CPSF6,Stim8hr,Repro-promoted,PLAAT3,2.297,0.585,1.085,0.402,0.997,0.893
CPSF6,Stim8hr,Repro-promoted,METRNL,1.435,0.244,1.202,0.223,1.0,0.997
CPSF6,Stim8hr,Repro-promoted,JUN,1.886,0.258,1.55,0.234,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,LCORL,0.866,0.167,0.794,0.16,1.0,0.904
CPSF6,Stim8hr,Repro-promoted,KCTD12,0.885,0.209,0.774,0.196,1.0,0.833
CPSF6,Stim8hr,Repro-promoted,C14orf28,1.336,0.335,0.978,0.286,1.0,0.915
CPSF6,Stim8hr,Repro-promoted,SERTAD2,0.872,0.128,0.828,0.124,1.0,0.974
CPSF6,Stim8hr,Repro-promoted,PRF1,0.926,0.225,0.795,0.208,1.0,0.843
CPSF6,Stim8hr,Repro-promoted,ZFP82,0.964,0.257,0.793,0.233,1.0,0.814
CPSF6,Stim8hr,Repro-promoted,TLCD5,2.697,0.508,1.465,0.374,1.0,0.991
CPSF6,Stim8hr,Repro-promoted,RFX7,0.709,0.11,0.682,0.108,1.0,0.815
CPSF6,Stim8hr,Repro-promoted,ZNF329,2.121,0.333,1.558,0.285,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,ADO,0.843,0.106,0.813,0.104,1.0,0.986
CPSF6,Stim8hr,Repro-promoted,CREB3L2,0.839,0.152,0.78,0.147,1.0,0.908
CPSF6,Stim8hr,Repro-promoted,EXT1,0.813,0.144,0.761,0.14,1.0,0.896
CPSF6,Stim8hr,Repro-promoted,TSKU,2.096,0.587,0.985,0.403,0.993,0.84
CPSF6,Stim8hr,Repro-promoted,PMCH,2.605,0.666,1.065,0.426,0.994,0.87
CPSF6,Stim8hr,Repro-promoted,PCBP3,2.313,0.547,1.169,0.389,0.999,0.933
CPSF6,Stim8hr,Repro-promoted,ZNRF3,1.608,0.369,1.114,0.307,1.0,0.958
CPSF6,Stim8hr,Repro-promoted,PRKX,-1.558,0.369,-1.077,0.307,0.0,0.946
CPSF6,Stim8hr,Repro-promoted,NPW,1.422,0.399,0.936,0.324,0.998,0.861
CPSF6,Stim8hr,Repro-promoted,OAF,2.007,0.22,1.734,0.204,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,MAML2,1.047,0.24,0.881,0.22,1.0,0.911
CPSF6,Stim8hr,Repro-promoted,SEPTIN5,1.584,0.397,1.045,0.323,0.999,0.923
CPSF6,Stim8hr,Repro-promoted,FAM43A,1.341,0.366,0.933,0.305,0.999,0.872
CPSF6,Stim8hr,Repro-promoted,SHC4,1.38,0.379,0.939,0.313,0.999,0.871
CPSF6,Stim8hr,Repro-promoted,ANKRD46,1.003,0.124,0.955,0.121,1.0,0.999
CPSF6,Stim8hr,Repro-promoted,ZNRF1,0.97,0.186,0.871,0.176,1.0,0.948
CPSF6,Stim8hr,Repro-promoted,INSIG1,1.864,0.152,1.733,0.146,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,ZNF70,1.422,0.261,1.164,0.236,1.0,0.993
CPSF6,Stim8hr,Repro-promoted,MORN2,1.104,0.211,0.964,0.197,1.0,0.973
CPSF6,Stim8hr,Repro-promoted,AGRN,1.413,0.236,1.196,0.217,1.0,0.998
CPSF6,Stim8hr,Repro-promoted,CIBAR1,2.026,0.469,1.179,0.358,1.0,0.952
CPSF6,Stim8hr,Repro-promoted,SELL,-0.852,0.202,-0.752,0.19,0.0,0.81
CPSF6,Stim8hr,Repro-promoted,IER5L,2.026,0.308,1.548,0.269,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,ZDHHC9,0.849,0.162,0.782,0.156,1.0,0.897
CPSF6,Stim8hr,Repro-promoted,CALHM6,1.314,0.238,1.109,0.219,1.0,0.992
CPSF6,Stim8hr,Repro-promoted,NUGGC,2.56,0.642,1.092,0.419,0.995,0.887
CPSF6,Stim8hr,Repro-promoted,NUDT11,2.562,0.42,1.626,0.335,1.0,0.999
CPSF6,Stim8hr,Repro-promoted,PLXNB2,2.011,0.53,1.049,0.383,0.997,0.887
CPSF6,Stim8hr,Repro-promoted,ZNF502,1.777,0.479,1.015,0.362,0.997,0.883
CPSF6,Stim8hr,Repro-promoted,TECPR2,1.054,0.249,0.876,0.227,1.0,0.9
CPSF6,Stim8hr,Repro-promoted,H2AC11,1.254,0.268,1.016,0.241,1.0,0.963
CPSF6,Stim8hr,Repro-promoted,ANXA4,-0.923,0.201,-0.815,0.189,0.0,0.888
CPSF6,Stim8hr,Repro-promoted,ZSCAN26,0.93,0.193,0.83,0.182,1.0,0.911
CPSF6,Stim8hr,Repro-promoted,LRRC8B,0.833,0.094,0.81,0.092,1.0,0.993
CPSF6,Stim8hr,Repro-promoted,NOL4L,1.444,0.312,1.097,0.271,1.0,0.97
CPSF6,Stim8hr,Repro-promoted,PDGFA,2.369,0.512,1.276,0.376,1.0,0.967
CPSF6,Stim8hr,Repro-promoted,SVIP,-1.332,0.279,-1.063,0.249,0.0,0.972
CPSF6,Stim8hr,Repro-promoted,ZNF607,1.665,0.487,0.938,0.366,0.995,0.833
CPSF6,Stim8hr,Repro-promoted,ZNF813,1.366,0.358,0.964,0.3,0.999,0.896
CPSF6,Stim8hr,Repro-promoted,SPRED2,2.272,0.268,1.841,0.241,1.0,1.0
CPSF6,Stim8hr,Repro-promoted,TCAF1,1.064,0.253,0.88,0.23,1.0,0.9
CPSF6,Stim8hr,Repro-promoted,ZXDB,1.38,0.384,0.93,0.316,0.998,0.863
CPSF6,Stim8hr,Repro-promoted,BAZ1A,-0.922,0.116,-0.883,0.114,0.0,0.996
CPSF6,Stim8hr,Repro-promoted,PPP1R14C,2.222,0.61,1.004,0.41,0.993,0.847
CPSF6,Stim8hr,Repro-promoted,RCSD1,-0.72,0.108,-0.693,0.106,0.0,0.846
CPSF6,Stim8hr,Repro-promoted,ZNF358,1.145,0.314,0.867,0.273,0.999,0.849
CPSF6,Stim8hr,Repro-promoted,ZDBF2,1.172,0.248,0.976,0.226,1.0,0.958
CPSF6,Stim8hr,Repro-promoted,CCNI2,-1.873,0.403,-1.224,0.326,0.0,0.975
CPSF6,Stim8hr,Repro-promoted,PSMB10,-0.771,0.107,-0.743,0.105,0.0,0.934
CPSF6,Stim8hr,Repro-promoted,RBMXL1,-0.89,0.2,-0.787,0.188,0.0,0.859
CPSF6,Stim8hr,Repro-promoted,LBH,1.044,0.149,0.974,0.144,1.0,0.997
CPSF6,Stim8hr,Repro-promoted,GOLGA8B,-1.387,0.226,-1.188,0.209,0.0,0.998
CPSF6,Stim8hr,Repro-promoted,SMIM13,0.756,0.124,0.72,0.121,1.0,0.869
CPSF6,Stim8hr,Repro-promoted,PSMB9,-0.697,0.086,-0.681,0.085,0.0,0.869
CPSF6,Stim8hr,Repro-promoted,CCDC71L,1.059,0.189,0.949,0.178,1.0,0.979
CPSF6,Stim8hr,Repro-promoted,CNPY2,-0.78,0.094,-0.758,0.093,0.0,0.969
CPSF6,Stim8hr,Repro-promoted,TMEM178B,1.74,0.374,1.195,0.31,1.0,0.976
CPSF6,Stim8hr,Repro-promoted,CCL5,1.176,0.34,0.853,0.29,0.998,0.822
CPSF6,Stim8hr,Repro-promoted,H2BC8,1.987,0.414,1.275,0.331,1.0,0.981
CPSF6,Stim8hr,Repro-promoted,NATD1,2.182,0.385,1.469,0.316,1.0,0.997
CPSF6,Stim8hr,Repro-promoted,CCL4,3.124,0.589,1.465,0.403,1.0,0.985
CPSF6,Stim8hr,Repro-promoted,PRAG1,1.17,0.248,0.974,0.226,1.0,0.957
CPSF6,Stim8hr,Repro-promoted,CCL4L2,5.83,0.819,1.829,0.459,1.0,0.997
CPSF6,Stim8hr,Repro-promoted,ZNF670,1.27,0.339,0.924,0.289,0.999,0.879
CPSF6,Stim8hr,Repro-promoted,CCL3,1.739,0.496,0.965,0.369,0.996,0.848
CPSF6,Stim8hr,Repro-promoted,SOD2,1.005,0.099,0.974,0.098,1.0,1.0
WAC,Stim8hr,Repro-promoted,IL32,-0.727,0.126,-0.691,0.123,0.0,0.804
WAC,Stim8hr,Repro-promoted,CD4,-1.246,0.129,-1.182,0.125,0.0,1.0
WAC,Stim8hr,Repro-promoted,TYMP,-0.929,0.185,-0.836,0.176,0.0,0.923
WAC,Stim8hr,Repro-promoted,TUBG2,1.175,0.302,0.905,0.265,1.0,0.886
WAC,Stim8hr,Repro-promoted,CTNS,-0.826,0.143,-0.774,0.139,0.0,0.913
WAC,Stim8hr,Repro-promoted,PPP1R3F,-0.993,0.261,-0.813,0.236,0.0,0.833
WAC,Stim8hr,Repro-promoted,HEBP2,-0.85,0.17,-0.777,0.162,0.0,0.882
WAC,Stim8hr,Repro-promoted,OPN3,-0.878,0.203,-0.773,0.191,0.0,0.838
WAC,Stim8hr,Repro-promoted,PRDM1,-0.97,0.134,-0.916,0.13,0.0,0.994
WAC,Stim8hr,Repro-promoted,CHI3L2,1.419,0.313,1.075,0.273,1.0,0.964
WAC,Stim8hr,Repro-promoted,SCARB1,-1.088,0.211,-0.95,0.197,0.0,0.968
WAC,Stim8hr,Repro-promoted,ADD2,1.225,0.361,0.86,0.302,0.998,0.819
WAC,Stim8hr,Repro-promoted,FOSL2,-0.85,0.173,-0.774,0.165,0.0,0.874
WAC,Stim8hr,Repro-promoted,SLC25A43,-1.337,0.332,-0.982,0.285,0.0,0.918
WAC,Stim8hr,Repro-promoted,CST7,-0.847,0.154,-0.787,0.148,0.0,0.913
WAC,Stim8hr,Repro-promoted,LAT2,-2.363,0.529,-1.236,0.382,0.001,0.956
WAC,Stim8hr,Repro-promoted,TRIP6,-0.92,0.179,-0.833,0.17,0.0,0.928
WAC,Stim8hr,Repro-promoted,DOCK3,1.608,0.442,0.982,0.345,0.998,0.875
WAC,Stim8hr,Repro-promoted,LAG3,-1.224,0.256,-1.008,0.232,0.0,0.966
WAC,Stim8hr,Repro-promoted,EPB41L4B,1.682,0.482,0.956,0.364,0.996,0.846
WAC,Stim8hr,Repro-promoted,WAC,-1.645,0.208,-1.442,0.195,0.0,1.0
WAC,Stim8hr,Repro-promoted,LGALS1,-1.147,0.168,-1.049,0.161,0.0,0.998
WAC,Stim8hr,Repro-promoted,APOBEC3H,-1.475,0.343,-1.065,0.292,0.0,0.95
WAC,Stim8hr,Repro-promoted,CSF2RB,-3.121,0.755,-1.092,0.446,0.007,0.872
WAC,Stim8hr,Repro-promoted,PCK2,-1.02,0.156,-0.945,0.15,0.0,0.992
WAC,Stim8hr,Repro-promoted,SYP,1.062,0.301,0.82,0.264,0.999,0.813
WAC,Stim8hr,Repro-promoted,TNFSF13B,1.445,0.333,1.062,0.285,1.0,0.953
WAC,Stim8hr,Repro-promoted,XYLT1,-0.915,0.214,-0.796,0.2,0.0,0.855
WAC,Stim8hr,Repro-promoted,DMXL2,1.144,0.314,0.865,0.273,0.999,0.847
WAC,Stim8hr,Repro-promoted,NCALD,-1.554,0.229,-1.327,0.211,0.0,1.0
WAC,Stim8hr,Repro-promoted,IL4I1,-1.847,0.311,-1.404,0.271,0.0,0.999
WAC,Stim8hr,Repro-promoted,NKG7,-1.193,0.203,-1.052,0.19,0.0,0.993
WAC,Stim8hr,Repro-promoted,AEBP1,1.231,0.304,0.946,0.266,1.0,0.912
WAC,Stim8hr,Repro-promoted,SPOCK2,-1.397,0.228,-1.195,0.211,0.0,0.998
WAC,Stim8hr,Repro-promoted,RAPGEF2,-0.813,0.163,-0.748,0.156,0.0,0.852
WAC,Stim8hr,Repro-promoted,CLEC2B,1.132,0.129,1.074,0.125,1.0,1.0
WAC,Stim8hr,Repro-promoted,DUSP16,-0.757,0.102,-0.732,0.1,0.0,0.929
WAC,Stim8hr,Repro-promoted,IL26,-1.57,0.439,-0.963,0.344,0.003,0.864
WAC,Stim8hr,Repro-promoted,DSE,1.365,0.407,0.885,0.328,0.997,0.82
WAC,Stim8hr,Repro-promoted,CD83,1.121,0.16,1.035,0.153,1.0,0.998
WAC,Stim8hr,Repro-promoted,BACH2,0.944,0.151,0.879,0.146,1.0,0.978
WAC,Stim8hr,Repro-promoted,DNPH1,-0.786,0.082,-0.769,0.081,0.0,0.988
WAC,Stim8hr,Repro-promoted,ST8SIA4,-0.766,0.097,-0.743,0.096,0.0,0.951
WAC,Stim8hr,Repro-promoted,CD86,-1.615,0.473,-0.933,0.36,0.005,0.834
WAC,Stim8hr,Repro-promoted,QPCT,1.489,0.3,1.151,0.264,1.0,0.984
WAC,Stim8hr,Repro-promoted,CAMSAP2,1.373,0.361,0.963,0.303,0.999,0.894
WAC,Stim8hr,Repro-promoted,NPC2,-1.14,0.181,-1.03,0.172,0.0,0.995
WAC,Stim8hr,Repro-promoted,FLVCR2,1.065,0.286,0.84,0.254,1.0,0.842
WAC,Stim8hr,Repro-promoted,LY9,2.379,0.309,1.813,0.27,1.0,1.0
WAC,Stim8hr,Repro-promoted,HVCN1,1.021,0.237,0.863,0.218,1.0,0.899
WAC,Stim8hr,Repro-promoted,NRN1,1.946,0.542,0.994,0.387,0.995,0.854
WAC,Stim8hr,Repro-promoted,HS3ST3B1,-1.121,0.207,-0.983,0.194,0.0,0.98
WAC,Stim8hr,Repro-promoted,ASL,-1.092,0.211,-0.953,0.197,0.0,0.969
WAC,Stim8hr,Repro-promoted,LRRC61,-1.14,0.258,-0.936,0.234,0.0,0.933
WAC,Stim8hr,Repro-promoted,TST,-1.695,0.432,-1.054,0.34,0.001,0.916
WAC,Stim8hr,Repro-promoted,MYO1B,1.034,0.283,0.819,0.252,0.999,0.824
WAC,Stim8hr,Repro-promoted,CHN1,1.611,0.332,1.184,0.285,1.0,0.982
WAC,Stim8hr,Repro-promoted,MTSS2,2.18,0.484,1.235,0.364,1.0,0.963
WAC,Stim8hr,Repro-promoted,TMCC2,1.079,0.239,0.909,0.22,1.0,0.93
WAC,Stim8hr,Repro-promoted,IL6ST,0.731,0.123,0.696,0.121,1.0,0.822
WAC,Stim8hr,Repro-promoted,CABLES1,1.638,0.441,1.002,0.345,0.998,0.886
WAC,Stim8hr,Repro-promoted,CPM,1.663,0.227,1.423,0.21,1.0,1.0
WAC,Stim8hr,Repro-promoted,CIDEB,-0.879,0.187,-0.789,0.177,0.0,0.876
WAC,Stim8hr,Repro-promoted,IL10,-4.039,0.801,-1.305,0.455,0.002,0.943
WAC,Stim8hr,Repro-promoted,ALDH1B1,-1.194,0.181,-1.078,0.172,0.0,0.998
WAC,Stim8hr,Repro-promoted,DDX60,-1.041,0.226,-0.891,0.21,0.0,0.928
WAC,Stim8hr,Repro-promoted,MYOF,-0.985,0.165,-0.905,0.158,0.0,0.979
WAC,Stim8hr,Repro-promoted,DUSP5,0.846,0.13,0.801,0.127,1.0,0.956
WAC,Stim8hr,Repro-promoted,SHF,0.94,0.223,0.809,0.207,1.0,0.86
WAC,Stim8hr,Repro-promoted,HERC6,-0.91,0.206,-0.799,0.193,0.0,0.866
WAC,Stim8hr,Repro-promoted,RASGEF1B,1.298,0.346,0.933,0.294,0.999,0.882
WAC,Stim8hr,Repro-promoted,AMIGO2,0.771,0.151,0.718,0.146,1.0,0.819
WAC,Stim8hr,Repro-promoted,ITGAX,-1.321,0.378,-0.9,0.312,0.002,0.844
WAC,Stim8hr,Repro-promoted,IRF8,1.279,0.215,1.112,0.2,1.0,0.996
WAC,Stim8hr,Repro-promoted,TP53,-0.775,0.072,-0.762,0.071,0.0,0.994
WAC,Stim8hr,Repro-promoted,MED12L,0.979,0.27,0.791,0.242,0.999,0.802
WAC,Stim8hr,Repro-promoted,GZMA,-1.51,0.37,-1.044,0.307,0.0,0.932
WAC,Stim8hr,Repro-promoted,N4BP3,1.136,0.281,0.903,0.251,1.0,0.897
WAC,Stim8hr,Repro-promoted,FEZ1,1.652,0.441,1.011,0.345,0.998,0.892
WAC,Stim8hr,Repro-promoted,FLI1,-0.699,0.105,-0.675,0.103,0.0,0.808
WAC,Stim8hr,Repro-promoted,SLC25A4,0.935,0.187,0.84,0.177,1.0,0.925
WAC,Stim8hr,Repro-promoted,PTPN14,2.266,0.459,1.342,0.353,1.0,0.984
WAC,Stim8hr,Repro-promoted,MERTK,1.366,0.357,0.964,0.3,0.999,0.897
WAC,Stim8hr,Repro-promoted,GBP5,0.912,0.167,0.836,0.16,1.0,0.941
WAC,Stim8hr,Repro-promoted,PXYLP1,-1.382,0.375,-0.946,0.311,0.001,0.878
WAC,Stim8hr,Repro-promoted,SUSD3,-0.803,0.175,-0.73,0.167,0.0,0.807
WAC,Stim8hr,Repro-promoted,AGAP1,1.501,0.447,0.909,0.348,0.996,0.824
WAC,Stim8hr,Repro-promoted,TSPAN33,1.557,0.298,1.207,0.263,1.0,0.991
WAC,Stim8hr,Repro-promoted,ADGRG5,-0.994,0.22,-0.858,0.205,0.0,0.909
WAC,Stim8hr,Repro-promoted,CCR5,-1.529,0.376,-1.045,0.311,0.0,0.931
WAC,Stim8hr,Repro-promoted,FDXR,-0.939,0.246,-0.784,0.225,0.0,0.813
WAC,Stim8hr,Repro-promoted,CTLA4,-0.938,0.248,-0.781,0.227,0.0,0.806
WAC,Stim8hr,Repro-promoted,CDCP1,2.366,0.574,1.139,0.399,0.998,0.918
WAC,Stim8hr,Repro-promoted,IFI27,-3.401,0.698,-1.313,0.434,0.001,0.953
WAC,Stim8hr,Repro-promoted,CKB,1.435,0.415,0.919,0.332,0.997,0.843
WAC,Stim8hr,Repro-promoted,RIC3,1.557,0.298,1.207,0.262,1.0,0.991
WAC,Stim8hr,Repro-promoted,KIF7,1.176,0.301,0.907,0.265,1.0,0.888
WAC,Stim8hr,Repro-promoted,PRRX2,1.146,0.29,0.899,0.257,1.0,0.889
WAC,Stim8hr,Repro-promoted,SLC43A2,0.96,0.228,0.821,0.211,1.0,0.868
WAC,Stim8hr,Repro-promoted,NUDT8,-1.587,0.336,-1.16,0.287,0.0,0.977
WAC,Stim8hr,Repro-promoted,PRDX2,-0.675,0.059,-0.668,0.059,0.0,0.919
WAC,Stim8hr,Repro-promoted,ABCA3,-1.791,0.384,-1.21,0.315,0.0,0.976
WAC,Stim8hr,Repro-promoted,SLC35G2,1.022,0.264,0.832,0.238,1.0,0.85
WAC,Stim8hr,Repro-promoted,ITGAM,-1.191,0.264,-0.971,0.238,0.0,0.947
WAC,Stim8hr,Repro-promoted,CHD3,-0.744,0.095,-0.723,0.094,0.0,0.929
WAC,Stim8hr,Repro-promoted,MZB1,-1.635,0.257,-1.345,0.233,0.0,0.999
WAC,Stim8hr,Repro-promoted,ELOVL6,-0.969,0.248,-0.807,0.226,0.0,0.837
WAC,Stim8hr,Repro-promoted,MTSS1,1.592,0.351,1.136,0.296,1.0,0.969
WAC,Stim8hr,Repro-promoted,RBKS,-2.455,0.575,-1.181,0.399,0.002,0.933
WAC,Stim8hr,Repro-promoted,NPTX1,-1.156,0.28,-0.92,0.25,0.0,0.91
WAC,Stim8hr,Repro-promoted,HOPX,-0.86,0.146,-0.804,0.141,0.0,0.941
WAC,Stim8hr,Repro-promoted,ENC1,1.248,0.309,0.952,0.27,1.0,0.913
WAC,Stim8hr,Repro-promoted,ZIK1,0.809,0.179,0.732,0.17,1.0,0.806
WAC,Stim8hr,Repro-promoted,EPHX4,1.866,0.495,1.037,0.369,0.998,0.89
WAC,Stim8hr,Repro-promoted,VANGL1,-0.763,0.153,-0.709,0.147,0.0,0.801
WAC,Stim8hr,Repro-promoted,NRROS,-0.807,0.111,-0.776,0.108,0.0,0.961
WAC,Stim8hr,Repro-promoted,UCP2,-0.764,0.15,-0.711,0.145,0.0,0.809
WAC,Stim8hr,Repro-promoted,RIMKLA,2.04,0.479,1.167,0.362,0.999,0.946
WAC,Stim8hr,Repro-promoted,TLCD5,1.951,0.435,1.206,0.342,1.0,0.965
WAC,Stim8hr,Repro-promoted,ZNF329,1.097,0.305,0.841,0.267,0.999,0.831
WAC,Stim8hr,Repro-promoted,GJC1,1.19,0.207,1.044,0.194,1.0,0.991
WAC,Stim8hr,Repro-promoted,CCDC159,-1.521,0.453,-0.911,0.351,0.005,0.823
WAC,Stim8hr,Repro-promoted,STING1,-0.894,0.147,-0.835,0.142,0.0,0.961
WAC,Stim8hr,Repro-promoted,APOBR,-1.095,0.226,-0.938,0.209,0.0,0.954
WAC,Stim8hr,Repro-promoted,HPDL,-0.881,0.184,-0.793,0.175,0.0,0.883
WAC,Stim8hr,Repro-promoted,TDRD7,-1.026,0.288,-0.808,0.255,0.001,0.808
WAC,Stim8hr,Repro-promoted,S100A4,-0.711,0.109,-0.684,0.107,0.0,0.822
WAC,Stim8hr,Repro-promoted,MVB12B,1.515,0.376,1.037,0.311,1.0,0.927
WAC,Stim8hr,Repro-promoted,STMN3,1.327,0.304,1.02,0.266,1.0,0.949
WAC,Stim8hr,Repro-promoted,TMEM273,-1.693,0.183,-1.526,0.174,0.0,1.0
WAC,Stim8hr,Repro-promoted,CCNI2,-1.481,0.323,-1.105,0.279,0.0,0.969
WAC,Stim8hr,Repro-promoted,CRIP1,-0.793,0.14,-0.745,0.136,0.0,0.879
WAC,Stim8hr,Repro-promoted,TTLL3,0.821,0.147,0.767,0.142,1.0,0.9
WAC,Stim8hr,Repro-promoted,IFI30,-0.785,0.152,-0.731,0.146,0.0,0.841
WAC,Stim8hr,Repro-promoted,LTB,-0.951,0.172,-0.868,0.164,0.0,0.957
