rotation,pc,tail,set_name,n_overlap,set_size,n_drawn,background_size,pvalue,overlap_genes,fdr
varimax,7,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,7,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,7,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,8,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,8,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,8,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,8,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,8,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,8,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,8,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,8,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,9,top,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,9,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,9,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,9,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,9,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,9,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,9,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,9,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,10,top,IFN_ISG,5,11,40,2000,1.0488178623571271e-06,"IFI44L,OAS2,OAS3,STAT1,USP18",4.1952714494285084e-06
varimax,10,top,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,10,top,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,10,top,MEDIATOR,0,4,40,2000,1.0,,1.0
varimax,10,bottom,IFN_ISG,0,11,40,2000,1.0,,1.0
varimax,10,bottom,TCR_PROXIMAL,0,10,40,2000,1.0,,1.0
varimax,10,bottom,CHROMATIN_SAGA,0,6,40,2000,1.0,,1.0
varimax,10,bottom,MEDIATOR,0,4,40,2000,1.0,,1.0
