source,target,condition,subsumption_frac
NSD1,ANTKMT,Rest,0.2962962962962963
NSD1,APEX1,Rest,0.35984848484848486
NSD1,APMAP,Rest,0.36363636363636365
NSD1,APOBEC3B,Rest,0.3827751196172249
NSD1,ARHGAP15,Rest,0.3584905660377358
NSD1,ARHGAP30,Rest,0.30303030303030304
NSD1,ARID5A,Rest,0.386046511627907
NSD1,ARIH2,Rest,0.30303030303030304
NSD1,ARL8B,Rest,0.3169642857142857
NSD1,ARMC8,Rest,0.35514018691588783
NSD1,ARRB1,Rest,0.28169014084507044
NSD1,ASXL1,Rest,0.34054054054054056
NSD1,ATAD5,Rest,0.3560606060606061
NSD1,ATF7IP,Rest,0.3559322033898305
NSD1,ATG12,Rest,0.35368956743002544
NSD1,ATM,Rest,0.3435114503816794
NSD1,B4GALT5,Rest,0.39705882352941174
NSD1,BCL9L,Rest,0.3345724907063197
NSD1,BCOR,Rest,0.3855421686746988
NSD1,BHLHE40,Rest,0.3700440528634361
NSD1,BRD7,Rest,0.32432432432432434
NSD1,BRMS1,Rest,0.3881278538812785
NSD1,BTAF1,Rest,0.37481031866464337
NSD1,BZW2,Rest,0.3829787234042553
NSD1,C16orf87,Rest,0.35714285714285715
NSD1,C6orf120,Rest,0.3298429319371728
NSD1,C8orf33,Rest,0.2983425414364641
NSD1,CAB39,Rest,0.39303482587064675
NSD1,CALM1,Rest,0.35714285714285715
NSD1,CAND1,Rest,0.3593220338983051
NSD1,CARM1,Rest,0.34156378600823045
NSD1,CARNMT1,Rest,0.36363636363636365
NSD1,CASP3,Rest,0.34831460674157305
USP22,TADA2B,Rest,0.41627906976744183
USP22,ELAVL1,Rest,0.38543247344461307
USP22,ARNT,Rest,0.39838337182448036
USP22,NSD1,Rest,0.42035398230088494
USP22,AACS,Rest,0.4146341463414634
USP22,ABCA5,Rest,0.4225352112676056
USP22,ABCC1,Rest,0.3686440677966102
USP22,ACACA,Rest,0.46808510638297873
USP22,ADNP,Rest,0.3781094527363184
USP22,ADNP2,Rest,0.4367816091954023
USP22,AHR,Rest,0.37254901960784315
USP22,AHSA1,Rest,0.49032258064516127
USP22,AK3,Rest,0.4459016393442623
USP22,AKAP17A,Rest,0.3680555555555556
USP22,ANKRD11,Rest,0.47715736040609136
USP22,ANKRD27,Rest,0.38974358974358975
USP22,ANTKMT,Rest,0.42962962962962964
USP22,APEX1,Rest,0.35984848484848486
USP22,APMAP,Rest,0.3986013986013986
USP22,APOBEC3B,Rest,0.32057416267942584
USP22,ARHGAP15,Rest,0.4339622641509434
USP22,ARHGAP30,Rest,0.36495388669301715
USP22,ARID5A,Rest,0.42790697674418604
USP22,ARIH2,Rest,0.3696969696969697
USP22,ARL8B,Rest,0.375
USP22,ARMC8,Rest,0.3691588785046729
USP22,ARRB1,Rest,0.2887323943661972
USP22,ASXL1,Rest,0.34864864864864864
USP22,ATAD5,Rest,0.3816287878787879
USP22,ATF7IP,Rest,0.3728813559322034
USP22,ATG12,Rest,0.3511450381679389
USP22,ATM,Rest,0.3702290076335878
USP22,B4GALT5,Rest,0.3014705882352941
USP22,BCL9L,Rest,0.4349442379182156
USP22,BCOR,Rest,0.4036144578313253
USP22,BHLHE40,Rest,0.394273127753304
USP22,BRD7,Rest,0.3918918918918919
USP22,BRMS1,Rest,0.4041095890410959
USP22,BTAF1,Rest,0.3915022761760243
USP22,BZW2,Rest,0.43617021276595747
USP22,C16orf87,Rest,0.39915966386554624
USP22,C6orf120,Rest,0.3089005235602094
USP22,C8orf33,Rest,0.3259668508287293
USP22,CAB39,Rest,0.4129353233830846
USP22,CALM1,Rest,0.25
USP22,CAND1,Rest,0.40847457627118644
USP22,CARM1,Rest,0.4279835390946502
USP22,CARNMT1,Rest,0.4155844155844156
USP22,CASP3,Rest,0.39325842696629215
AACS,TADA2B,Rest,0.06666666666666667
AACS,ELAVL1,Rest,0.057663125948406675
AACS,ARNT,Rest,0.07621247113163972
AACS,NSD1,Rest,0.07964601769911504
AACS,USP22,Rest,0.06719367588932806
AACS,ABCA5,Rest,0.06338028169014084
AACS,ABCC1,Rest,0.0423728813559322
AACS,ACACA,Rest,0.0851063829787234
AACS,ADNP,Rest,0.06965174129353234
AACS,ADNP2,Rest,0.06321839080459771
AACS,AHR,Rest,0.06604747162022703
AACS,AHSA1,Rest,0.0935483870967742
AACS,AK3,Rest,0.04918032786885246
AACS,AKAP17A,Rest,0.09722222222222222
AACS,ANKRD11,Rest,0.08629441624365482
AACS,ANKRD27,Rest,0.035897435897435895
AACS,ANTKMT,Rest,0.05185185185185185
AACS,APEX1,Rest,0.07954545454545454
AACS,APMAP,Rest,0.07692307692307693
AACS,APOBEC3B,Rest,0.03827751196172249
AACS,ARHGAP15,Rest,0.05660377358490566
AACS,ARHGAP30,Rest,0.052700922266139656
AACS,ARID5A,Rest,0.07906976744186046
AACS,ARIH2,Rest,0.08484848484848485
AACS,ARL8B,Rest,0.05803571428571429
AACS,ARMC8,Rest,0.11214953271028037
AACS,ARRB1,Rest,0.06338028169014084
AACS,ASXL1,Rest,0.08108108108108109
AACS,ATAD5,Rest,0.06439393939393939
AACS,ATF7IP,Rest,0.05084745762711865
AACS,ATG12,Rest,0.05343511450381679
AACS,ATM,Rest,0.09923664122137404
AACS,B4GALT5,Rest,0.08088235294117647
AACS,BCL9L,Rest,0.07063197026022305
AACS,BCOR,Rest,0.07228915662650602
AACS,BHLHE40,Rest,0.06167400881057269
AACS,BRD7,Rest,0.06756756756756757
AACS,BRMS1,Rest,0.0684931506849315
AACS,BTAF1,Rest,0.06525037936267071
AACS,BZW2,Rest,0.0851063829787234
AACS,C16orf87,Rest,0.0546218487394958
AACS,C6orf120,Rest,0.07853403141361257
