index,eigenvalue,is_global,is_signal,lam_plus,sigma2
255,1.673538,False,True,1.490873,0.504244
256,1.671099,False,True,1.490873,0.504244
257,1.669698,False,True,1.490873,0.504244
258,1.666064,False,True,1.490873,0.504244
259,1.661487,False,True,1.490873,0.504244
260,1.66053,False,True,1.490873,0.504244
261,1.657635,False,True,1.490873,0.504244
262,1.655652,False,True,1.490873,0.504244
263,1.654263,False,True,1.490873,0.504244
264,1.651989,False,True,1.490873,0.504244
265,1.649944,False,True,1.490873,0.504244
266,1.644842,False,True,1.490873,0.504244
267,1.641434,False,True,1.490873,0.504244
268,1.640387,False,True,1.490873,0.504244
269,1.637957,False,True,1.490873,0.504244
270,1.636198,False,True,1.490873,0.504244
271,1.632578,False,True,1.490873,0.504244
272,1.628358,False,True,1.490873,0.504244
273,1.626606,False,True,1.490873,0.504244
274,1.6242,False,True,1.490873,0.504244
275,1.62377,False,True,1.490873,0.504244
276,1.618438,False,True,1.490873,0.504244
277,1.618043,False,True,1.490873,0.504244
278,1.616308,False,True,1.490873,0.504244
279,1.614016,False,True,1.490873,0.504244
280,1.61234,False,True,1.490873,0.504244
281,1.609759,False,True,1.490873,0.504244
282,1.609362,False,True,1.490873,0.504244
283,1.608005,False,True,1.490873,0.504244
284,1.605199,False,True,1.490873,0.504244
285,1.603676,False,True,1.490873,0.504244
286,1.598187,False,True,1.490873,0.504244
287,1.596759,False,True,1.490873,0.504244
288,1.593513,False,True,1.490873,0.504244
289,1.588401,False,True,1.490873,0.504244
290,1.587311,False,True,1.490873,0.504244
291,1.584729,False,True,1.490873,0.504244
292,1.584078,False,True,1.490873,0.504244
293,1.582106,False,True,1.490873,0.504244
294,1.579742,False,True,1.490873,0.504244
295,1.576155,False,True,1.490873,0.504244
296,1.575483,False,True,1.490873,0.504244
297,1.572116,False,True,1.490873,0.504244
298,1.568017,False,True,1.490873,0.504244
299,1.566874,False,True,1.490873,0.504244
300,1.56493,False,True,1.490873,0.504244
301,1.564287,False,True,1.490873,0.504244
302,1.560308,False,True,1.490873,0.504244
303,1.558409,False,True,1.490873,0.504244
304,1.558119,False,True,1.490873,0.504244
305,1.555206,False,True,1.490873,0.504244
306,1.552351,False,True,1.490873,0.504244
307,1.549814,False,True,1.490873,0.504244
308,1.547901,False,True,1.490873,0.504244
309,1.54711,False,True,1.490873,0.504244
310,1.545051,False,True,1.490873,0.504244
311,1.54407,False,True,1.490873,0.504244
312,1.541559,False,True,1.490873,0.504244
313,1.538849,False,True,1.490873,0.504244
314,1.537702,False,True,1.490873,0.504244
315,1.534315,False,True,1.490873,0.504244
316,1.530924,False,True,1.490873,0.504244
317,1.528916,False,True,1.490873,0.504244
318,1.527467,False,True,1.490873,0.504244
319,1.52637,False,True,1.490873,0.504244
320,1.524148,False,True,1.490873,0.504244
321,1.519545,False,True,1.490873,0.504244
322,1.518167,False,True,1.490873,0.504244
323,1.516227,False,True,1.490873,0.504244
324,1.515943,False,True,1.490873,0.504244
325,1.515482,False,True,1.490873,0.504244
326,1.512721,False,True,1.490873,0.504244
327,1.510007,False,True,1.490873,0.504244
328,1.507923,False,True,1.490873,0.504244
329,1.504748,False,True,1.490873,0.504244
330,1.503614,False,True,1.490873,0.504244
331,1.50346,False,True,1.490873,0.504244
332,1.501842,False,True,1.490873,0.504244
333,1.498514,False,True,1.490873,0.504244
334,1.495287,False,True,1.490873,0.504244
335,1.494208,False,True,1.490873,0.504244
336,1.491062,False,True,1.490873,0.504244
337,1.488425,False,False,1.490873,0.504244
338,1.487416,False,False,1.490873,0.504244
339,1.485825,False,False,1.490873,0.504244
340,1.484159,False,False,1.490873,0.504244
341,1.483114,False,False,1.490873,0.504244
342,1.48072,False,False,1.490873,0.504244
343,1.479389,False,False,1.490873,0.504244
344,1.475751,False,False,1.490873,0.504244
345,1.470799,False,False,1.490873,0.504244
346,1.470151,False,False,1.490873,0.504244
347,1.468394,False,False,1.490873,0.504244
348,1.466467,False,False,1.490873,0.504244
349,1.465216,False,False,1.490873,0.504244
350,1.463525,False,False,1.490873,0.504244
351,1.461693,False,False,1.490873,0.504244
352,1.459421,False,False,1.490873,0.504244
353,1.459024,False,False,1.490873,0.504244
354,1.456631,False,False,1.490873,0.504244
355,1.454795,False,False,1.490873,0.504244
356,1.452321,False,False,1.490873,0.504244
