gene,raw_score,kd_gated_score,eb_score,raw_rank,kd_gated_rank,eb_rank,dropped_by_kd_gate,rank_shift_raw_to_eb
ARPC4-TTLL3,645,,,533,,,True,
LTB4R,642,642.0,0.6151,535,462,468,False,67.0
PEX6,641,641.0,0.2581,536,463,711,False,-175.0
HNRNPD,641,641.0,0.5749,536,463,487,False,49.0
MRPL3,635,,,538,,,True,
DHODH,633,,,539,,,True,
PACSIN2,631,631.0,-1.4344,540,465,2721,False,-2181.0
NCBP3,631,631.0,1.0686,540,465,232,False,308.0
TMEM79,629,629.0,0.6318,542,467,459,False,83.0
MED13,628,628.0,0.5404,543,468,512,False,31.0
RNASEH1,627,627.0,0.048,544,469,872,False,-328.0
PCBP2,626,626.0,0.904,545,470,302,False,243.0
MRPL21,625,,,546,,,True,
C6orf62,623,623.0,-0.778,547,471,1694,False,-1147.0
CCDC22,618,618.0,-0.5285,548,473,1414,False,-866.0
RPL36A-HNRNPH2,617,,,549,,,True,
POLG2,615,615.0,-0.0164,550,474,920,False,-370.0
PCBP1,615,615.0,0.8185,550,474,340,False,210.0
TMED10,615,615.0,1.1221,550,474,219,False,331.0
CCNF,614,614.0,0.7378,553,477,402,False,151.0
PPP3R1,612,612.0,-0.2142,554,478,1108,False,-554.0
NUP188,611,611.0,0.7093,555,479,411,False,144.0
ACAD11,609,609.0,0.6323,556,480,458,False,98.0
CAD,609,609.0,0.5893,556,480,483,False,73.0
TAF5L,608,608.0,0.764,558,482,381,False,177.0
AMBRA1,607,607.0,-0.4506,559,483,1327,False,-768.0
ACAD9,606,606.0,-1.2127,560,484,2280,False,-1720.0
BPTF,603,603.0,1.1381,561,485,214,False,347.0
CFAP97,600,600.0,-1.3379,562,486,2512,False,-1950.0
PLEKHG1,600,600.0,0.7465,562,486,396,False,166.0
SCAF4,599,599.0,0.8306,564,488,334,False,230.0
LMTK2,599,599.0,0.1827,564,488,763,False,-199.0
GRWD1,596,,,566,,,True,
EMC4,595,595.0,0.2384,567,490,723,False,-156.0
GIPC3,595,,,567,,,True,
DR1,594,594.0,0.8564,569,491,324,False,245.0
SAP130,594,594.0,1.1706,569,491,203,False,366.0
ZFC3H1,590,590.0,0.6734,571,494,435,False,136.0
ASH2L,589,,,572,,,True,
NPAT,588,,,573,,,True,
RAB11FIP1,587,587.0,0.8675,574,495,319,False,255.0
ACTR5,584,584.0,1.0671,575,496,233,False,342.0
NIPBL,583,583.0,1.0479,576,497,238,False,338.0
STYXL1,583,583.0,0.6947,576,497,421,False,155.0
